"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPS"
"10","DPi","Jordan Taylor","2","1:22.157","2:41.975","Yellow","Track","0.581","6.446","2.946","4.122","11.210","7.749","6.064","4.347","12.946","17.383","1.637","6.726","141.997"
"6","DPi","Juan Pablo Montoya","2","1:23.554","2:43.050","Yellow","Track","0.575","6.411","2.737","4.331","11.344","7.772","6.287","4.435","13.423","18.141","1.934","6.164","143.478"
"84","DPi","Simon Trummer","2","1:22.517","2:43.515","Yellow","Track","0.582","6.495","2.845","4.095","11.027","7.647","6.336","3.998","13.206","18.316","1.856","6.114","141.753"
"85","DPi","Misha Goikhberg","2","1:21.918","2:44.594","Yellow","Track","0.583","6.495","3.014","4.121","11.043","7.464","5.898","4.113","12.593","18.887","1.752","5.955","141.509"
"5","DPi","Joao Barbosa","2","1:24.345","2:46.411","Yellow","Track","0.583","6.498","2.892","4.091","10.794","7.590","5.991","4.022","13.249","20.098","1.955","6.582","141.509"
"50","DPi","Kyle Kaiser","2","1:25.657","2:49.509","Yellow","Track","0.584","6.501","3.072","4.070","10.816","7.557","5.970","4.083","12.164","21.374","2.428","7.038","141.267"
"911","GTLM","Nick Tandy","2","1:28.261","2:54.892","Yellow","Track","0.634","7.013","3.144","4.323","11.131","8.010","6.124","4.398","14.152","19.843","2.194","7.295","130.126"
"912","GTLM","Laurens Vanthoor","2","1:28.718","2:55.715","Yellow","Track","0.633","6.999","3.190","4.320","11.179","7.819","6.189","4.421","14.266","20.658","1.978","7.066","130.332"
"4","GTLM","Oliver Gavin","2","1:30.019","2:57.475","Yellow","Track","0.626","6.943","3.225","4.383","11.264","7.980","6.154","4.378","14.423","21.174","2.287","7.182","131.789"
"66","GTLM","Sebastien Bourdais","2","1:29.858","2:58.107","Yellow","Track","0.639","7.087","3.158","4.314","11.257","7.916","5.988","4.363","14.447","21.453","2.041","7.195","129.108"
"3","GTLM","Antonio Garcia","2","1:31.055","2:59.883","Yellow","Track","0.624","6.933","3.255","4.398","11.367","7.946","6.014","4.297","14.355","22.374","2.222","7.270","132.212"
"25","GTLM","Tom Blomqvist","2","1:31.246","3:00.877","Yellow","Track","0.632","6.975","3.170","4.274","11.314","7.858","6.093","4.316","14.748","22.421","2.057","7.388","130.538"
"24","GTLM","John Edwards","2","1:32.134","3:02.209","Yellow","Track","0.627","6.946","3.125","4.184","11.255","7.865","6.276","4.365","15.218","22.342","2.039","7.892","131.579"
"67","GTLM","Ryan Briscoe","2","1:32.414","3:03.409","Yellow","Track","0.639","7.070","3.228","4.368","11.193","7.977","6.255","4.463","14.836","22.392","2.069","7.924","129.108"
"55","DPi","Jonathan Bomarito","2","1:51.696","3:12.243","Yellow","Track","0.569","6.355","2.893","4.167","11.102","7.728","6.059","3.983","44.954","17.386","1.602","4.898","144.991"
"7","DPi","Helio Castroneves","3","2:19.536","4:56.767","Yellow","Track","1.042","13.385","5.883","5.670","16.585","14.358","13.456","8.119","21.760","25.818","2.815","10.645","79.175"
"31","DPi","Felipe Nasr","3","2:20.242","4:58.429","Yellow","Track","1.029","13.740","6.337","5.863","16.080","14.004","13.629","8.292","21.839","25.329","2.999","11.101","80.175"
"77","DPi","Tristan Nunez","3","2:20.304","4:59.065","Yellow","Track","1.013","13.915","6.302","5.719","16.192","14.016","13.681","8.294","21.692","25.449","3.144","10.887","81.441"
"10","DPi","Jordan Taylor","3","2:18.276","5:00.251","Yellow","Track","0.918","12.511","5.908","5.342","16.128","14.628","13.319","8.360","21.427","25.559","3.359","10.817","89.869"
"6","DPi","Juan Pablo Montoya","3","2:18.164","5:01.214","Yellow","Track","0.893","12.756","6.303","5.592","15.223","14.402","13.373","8.282","20.985","26.179","3.337","10.839","92.385"
"84","DPi","Simon Trummer","3","2:18.432","5:01.947","Yellow","Track","0.886","12.804","6.543","5.635","15.274","14.293","13.718","7.942","21.049","26.418","3.104","10.766","93.115"
"85","DPi","Misha Goikhberg","3","2:18.279","5:02.873","Yellow","Track","0.909","12.701","6.119","5.684","15.936","13.622","13.817","7.970","21.259","26.269","3.074","10.919","90.759"
"5","DPi","Joao Barbosa","3","2:17.734","5:04.145","Yellow","Track","0.803","11.347","6.418","6.221","15.371","13.895","13.712","7.786","21.523","26.528","3.154","10.976","102.740"
"50","DPi","Kyle Kaiser","3","2:15.962","5:05.471","Yellow","Track","0.780","10.359","5.669","5.899","15.664","14.375","13.221","8.222","21.881","25.797","3.096","10.999","105.769"
"911","GTLM","Nick Tandy","3","2:13.311","5:08.203","Yellow","Track","0.873","10.400","4.626","5.526","16.033","11.957","12.718","8.626","21.895","25.326","3.705","11.626","94.502"
"912","GTLM","Laurens Vanthoor","3","2:13.349","5:09.064","Yellow","Track","0.886","11.081","4.907","5.137","15.323","12.331","11.654","9.554","22.100","25.603","3.232","11.541","93.115"
