"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"77","DPi","Oliver Jarvis","49","1:14.941","1:02:58.395","Green","Track","3.677","6.168","4.026","8.451","6.765","1.760","0.473","6.533","14.270","13.468","5.222","4.128","172.977"
"6","DPi","Juan Pablo Montoya","49","1:14.184","1:02:58.990","Green","Track","3.760","6.205","3.855","7.950","6.798","1.764","0.471","6.455","13.983","13.556","5.194","4.193","173.712"
"10","DPi","Jordan Taylor","48","1:15.813","1:03:00.130","Green","Track","3.796","6.212","3.987","8.053","6.915","1.792","0.482","6.938","14.341","13.757","5.328","4.212","169.747"
"9","GTD","Scott Hargrove","44","1:37.399","1:03:03.438","Green","Track","14.119","9.593","4.795","8.916","7.842","2.052","0.551","7.251","16.293","15.624","5.692","4.671","148.490"
"48","GTD","Bryan Sellers","44","1:22.745","1:03:03.906","Green","Track","4.229","7.310","4.438","8.507","7.657","1.993","0.533","7.253","15.186","15.344","5.735","4.560","153.505"
"50","DPi","Will Owen","48","1:14.353","1:03:05.790","Green","Track","3.872","6.334","3.940","7.873","6.895","1.801","0.484","6.394","13.794","13.490","5.356","4.120","169.046"
"85","DPi","Misha Goikhberg","48","1:15.330","1:03:08.829","Green","Track","3.833","6.601","4.061","8.166","6.956","1.830","0.491","6.472","13.779","13.686","5.267","4.188","166.636"
"55","DPi","Ryan Hunter-Reay","49","1:15.478","1:03:11.901","Green","Track","3.703","6.291","3.918","7.914","6.768","1.819","0.487","6.524","14.601","14.028","5.255","4.170","168.004"
"73","GTD","Marco Seefried","44","2:19.280","1:03:12.317","Green","Pit","4.287","7.518","4.414","8.532","7.679","2.012","0.542","7.124","15.691","15.696","7.362","58.423","150.956"
"57","GTD","Katherine Legge","44","1:22.624","1:03:14.002","Green","Track","4.263","7.474","4.418","8.367","7.629","1.982","0.530","6.937","15.226","15.362","5.757","4.679","154.374"
"31","DPi","Pipo Derani","49","1:15.159","1:03:15.411","Green","Track","3.768","6.451","4.020","8.070","6.867","1.793","0.482","6.334","13.560","14.065","5.519","4.230","169.747"
"12","GTD","Townsend Bell","44","1:23.574","1:03:15.433","Green","Track","4.306","7.435","4.472","8.818","7.777","2.007","0.539","7.257","15.338","15.304","5.652","4.669","151.796"
"19","GTD","Alex Riberas","44","1:23.863","1:03:16.172","Green","Track","4.322","7.405","4.446","8.766","7.659","1.973","0.529","7.360","15.430","15.388","5.856","4.729","154.666"
"74","GTD","Lawson Aschenbach","44","1:22.224","1:03:20.255","Green","Track","4.276","7.435","4.412","8.407","7.691","2.006","0.539","6.910","15.030","15.268","5.673","4.577","151.796"
"63","GTD","Toni Vilander","44","1:22.194","1:03:22.115","Green","Track","4.306","7.467","4.423","8.365","7.621","1.982","0.533","6.915","15.018","15.307","5.696","4.561","153.505"
"5","DPi","Filipe Albuquerque","49","1:14.397","1:03:29.036","Green","Track","3.924","6.868","4.023","7.671","6.890","1.803","0.485","6.266","13.535","13.551","5.189","4.192","168.697"
"7","DPi","Ricky Taylor","49","1:13.587","1:03:30.497","Green","Track","3.802","6.224","3.881","8.056","6.887","1.790","0.481","6.362","13.454","13.400","5.025","4.225","170.100"
"76","GTD","Paul Holton","44","1:22.924","1:03:36.904","Green","Track","4.348","7.370","4.424","8.674","7.743","2.018","0.544","7.034","15.066","15.374","5.606","4.723","150.401"
"3","GTLM","Antonio Garcia","46","1:20.529","1:03:40.404","Green","Track","4.144","7.084","4.367","8.424","7.531","1.956","0.526","6.892","14.721","14.818","5.561","4.505","155.548"
"38","LMP2","Cameron Cassels","13","1:19.689","1:03:43.590","Green","Track","4.124","7.065","4.349","8.307","7.285","1.883","0.508","7.114","14.523","14.552","5.507","4.472","161.059"
"912","GTLM","Earl Bamber","46","1:19.949","1:03:48.382","Green","Track","4.172","7.053","4.303","8.312","7.471","1.950","0.524","6.824","14.622","14.785","5.474","4.459","156.142"
"25","GTLM","Tom Blomqvist","46","1:20.532","1:03:50.771","Green","Track","4.205","7.251","4.394","8.252","7.454","1.941","0.521","6.852","14.831","14.807","5.584","4.440","157.041"
"52","LMP2","Matthew McMurry","45","1:19.075","1:03:51.146","Green","Track","3.954","6.691","4.105","8.273","7.047","1.826","0.490","6.959","14.812","14.847","5.685","4.386","166.976"
"4","GTLM","Tommy Milner","46","1:22.600","1:03:51.452","Green","Track","4.124","6.979","4.332","8.305","7.408","1.931","0.518","6.919","14.697","14.788","5.599","7.000","157.950"
"8","GTD","Ryan Dalziel","44","1:23.271","1:03:55.266","Green","Track","4.381","7.428","4.444","8.503","7.797","2.029","0.543","7.110","15.183","15.513","5.730","4.610","150.678"
"911","GTLM","Nick Tandy","46","1:20.920","1:03:59.363","Green","Track","4.132","7.103","4.315","8.429","7.408","1.928","0.513","7.204","14.850","14.951","5.617","4.470","159.490"
"66","GTLM","Dirk Mueller","46","1:22.204","1:04:00.214","Green","Track","4.212","7.073","4.435","8.494","7.498","1.922","0.516","7.439","15.275","15.129","5.654","4.557","158.562"
"44","GTD","Andy Lally","44","1:23.869","1:04:01.200","Green","Track","4.304","7.382","4.424","8.495","7.739","2.029","0.577","7.627","15.485","15.434","5.751","4.622","141.799"
"54","DPi","Colin Braun","48","1:16.726","1:04:01.235","Green","Track","3.746","6.515","3.974","8.107","6.745","1.757","0.473","6.416","14.196","14.660","5.770","4.367","172.977"
"67","GTLM","Richard Westbrook","46","1:21.171","1:04:01.680","Green","Track","4.169","7.142","4.363","8.208","7.541","1.951","0.524","6.885","14.843","15.275","5.724","4.546","156.142"
"14","GTD","Jack Hawksworth","45","1:22.098","1:04:07.213","Green","Track","4.232","7.291","4.380","8.409","7.679","1.989","0.535","6.949","15.010","15.248","5.760","4.616","152.931"
"84","DPi","Simon Trummer","49","1:14.174","1:04:10.714","Green","Track","3.766","6.334","3.913","7.755","6.888","1.807","0.487","6.213","13.677","13.850","5.294","4.190","168.004"
"77","DPi","Oliver Jarvis","50","1:13.419","1:04:11.814","Green","Track","3.641","6.198","3.884","7.863","6.705","1.754","0.474","6.251","13.583","13.482","5.391","4.193","172.612"
"24","GTLM","John Edwards","46","1:20.587","1:04:11.840","Green","Track","4.159","7.141","4.387","8.219","7.469","1.944","0.522","6.924","14.651","15.082","5.442","4.647","156.740"
"6","DPi","Juan Pablo Montoya","50","1:13.704","1:04:12.694","Green","Track","3.743","6.152","3.912","7.795","6.806","1.765","0.476","6.469","13.568","13.555","5.216","4.247","171.887"
"86","GTD","Trent Hindman","46","1:29.917","1:04:14.307","Green","Pit","4.242","7.481","4.397","8.418","7.572","1.969","0.529","6.947","15.145","15.323","6.601","11.293","154.666"
"10","DPi","Jordan Taylor","49","1:14.208","1:04:14.338","Green","Track","3.793","6.207","3.970","7.964","6.923","1.810","0.488","6.410","13.654","13.523","5.276","4.190","167.660"
"50","DPi","Will Owen","49","1:14.585","1:04:20.375","Green","Track","3.788","6.413","3.985","8.151","6.887","1.800","0.484","6.450","13.696","13.443","5.314","4.174","169.046"
"85","DPi","Misha Goikhberg","49","1:16.519","1:04:25.348","Green","Track","3.788","6.270","3.962","7.890","6.936","1.823","0.490","6.487","14.945","14.302","5.435","4.191","166.976"
"55","DPi","Ryan Hunter-Reay","50","1:14.532","1:04:26.433","Green","Track","3.718","6.193","3.915","7.870","6.713","1.763","0.475","6.268","13.795","13.941","5.660","4.221","172.249"
"9","GTD","Scott Hargrove","45","1:23.082","1:04:26.520","Green","Track","4.314","7.424","4.459","8.434","7.758","2.027","0.547","7.039","15.083","15.668","5.667","4.662","149.576"
"48","GTD","Bryan Sellers","45","1:23.622","1:04:27.528","Green","Track","4.236","7.361","4.493","8.850","7.649","1.981","0.532","7.057","15.586","15.549","5.741","4.587","153.794"
"31","DPi","Pipo Derani","50","1:13.760","1:04:29.171","Green","Track","3.808","6.322","3.901","7.715","6.854","1.794","0.483","6.275","13.557","13.604","5.273","4.174","169.396"
"57","GTD","Katherine Legge","45","1:22.378","1:04:36.380","Green","Track","4.228","7.372","4.385","8.474","7.594","1.982","0.533","6.895","15.225","15.284","5.794","4.612","153.505"
"12","GTD","Townsend Bell","45","1:22.494","1:04:37.927","Green","Track","4.272","7.360","4.406","8.391","7.733","2.004","0.540","6.936","15.088","15.431","5.665","4.668","151.515"
"19","GTD","Alex Riberas","45","1:22.306","1:04:38.478","Green","Track","4.337","7.382","4.342","8.301","7.628","1.975","0.532","6.959","15.127","15.308","5.768","4.647","153.794"
"74","GTD","Lawson Aschenbach","45","1:21.943","1:04:42.198","Green","Track","4.256","7.386","4.406","8.338","7.656","2.010","0.542","6.937","14.954","15.226","5.636","4.596","150.956"
"5","DPi","Filipe Albuquerque","50","1:14.883","1:04:43.919","Green","Track","3.816","6.285","3.976","7.961","6.920","1.803","0.485","6.268","13.522","14.217","5.465","4.165","168.697"
"7","DPi","Ricky Taylor","50","1:14.066","1:04:44.563","Green","Track","3.742","6.069","3.863","7.740","6.826","1.784","0.481","6.298","13.497","13.758","5.527","4.481","170.100"
"63","GTD","Toni Vilander","45","1:23.136","1:04:45.251","Green","Track","4.207","7.426","4.424","8.370","7.662","1.988","0.536","6.894","15.160","15.473","5.894","5.102","152.646"
"73","GTD","Patrick Long","45","1:40.210","1:04:52.527","Green","Track","14.197","10.397","4.973","9.539","7.909","2.039","0.551","7.710","16.139","16.044","5.952","4.760","148.490"
"76","GTD","Paul Holton","45","1:22.775","1:04:59.679","Green","Track","4.381","7.350","4.444","8.371","7.724","2.034","0.549","7.065","15.031","15.416","5.764","4.646","149.031"
"3","GTLM","Antonio Garcia","47","1:20.126","1:05:00.530","Green","Track","4.123","7.002","4.295","8.309","7.484","1.952","0.524","6.836","14.758","14.744","5.550","4.549","156.142"
