"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"4","GS","Ted Giovanis","1","3:15.082","3:15.082","Green","Track","17.614","12.938","17.928","5.349","0.736","20.183","28.822","16.708","21.322","6.924","3.871","111.629"
"54","TCR","Michael Johnson","1","3:26.088","3:26.088","Green","Track","166.336","11.568","16.394","4.663","0.642","18.638","26.193","17.028","20.525","6.608","3.900","127.974"
"93","GS","Mark Siegel","1","3:29.650","3:29.650","Green","Track","392.152","11.945","16.528","4.672","0.591","18.924","26.452","16.966","21.486","7.324","3.975","139.017"
"33","GS","Indy Dontje","1","3:34.177","3:34.177","Green","Track","541.531","11.469","15.869","4.466","0.577","17.718","26.714","16.718","21.087","6.769","3.835","142.390"
"75","GS","Kuno Wittmer","1","3:48.232","3:48.232","Green","Track","332.891","12.434","16.075","4.604","0.586","17.116","25.356","16.264","20.205","6.602","3.758","140.203"
"7","GS","Trent Hindman","1","3:56.971","3:56.971","Green","Track","321.095","11.377","15.564","5.109","0.700","17.495","27.118","18.585","20.636","6.447","3.754","117.370"
"61","TCR","Gavin Ernstone","1","4:05.793","4:05.793","Green","Track","14.645","13.772","21.781","5.723","0.687","20.274","30.619","19.565","23.376","7.956","4.146","119.591"
"13","GS","Scott Hargrove","2","1:57.816","4:08.083","Green","Track","3.598","9.726","13.954","4.258","0.544","15.765","24.068","15.827","19.827","6.482","3.767","151.028"
"2","GS","Kenton Koch","2","1:57.381","4:09.128","Green","Track","3.685","9.986","14.077","4.354","0.558","15.367","23.961","15.826","19.362","6.433","3.772","147.239"
"82","GS","James Clay","2","1:57.887","4:12.013","Green","Track","3.581","9.802","13.727","4.237","0.542","15.994","24.266","15.850","19.694","6.496","3.698","151.585"
"97","GS","Rob Ecklin Jr.","2","1:59.799","4:18.748","Green","Track","3.587","10.031","14.010","4.274","0.547","16.114","24.676","15.898","20.074","6.813","3.775","150.199"
"57","GS","Christian Hohenadel","2","1:56.062","4:21.308","Green","Track","3.563","9.815","13.799","4.241","0.544","15.472","23.630","15.674","19.294","6.323","3.707","151.028"
"39","GS","Tyler McQuarrie","2","1:55.940","4:24.085","Green","Track","0.000","0.000","13.825","4.276","0.546","15.159","23.647","15.789","19.332","6.443","3.743","150.475"
"11","GS","Spencer Pumpelly","2","1:57.650","4:27.745","Green","Track","3.581","9.706","13.972","4.245","0.541","15.356","24.181","15.976","19.738","6.539","3.815","151.865"
"5","TCR","Tim Lewis Jr","2","2:01.738","4:37.467","Green","Track","3.804","10.313","14.381","4.516","0.582","16.298","24.944","16.352","19.973","6.716","3.859","141.167"
"46","GS","Hugh Plumb","2","1:57.879","4:40.262","Green","Track","3.584","9.625","14.456","4.405","0.575","15.686","23.997","15.899","19.430","6.476","3.746","142.885"
