"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"24","GTLM","Jesse Krohn","3","2:00.743","37:27.410","Green","Track","5.630","5.192","24.894","15.336","26.711","9.459","18.500","0.527","10.382","1.430","2.682","160.859","120.788"
"66","GTLM","Dirk Mueller","5","1:56.783","37:30.139","Green","Track","5.636","5.307","23.657","14.802","25.945","8.644","17.847","0.527","10.302","1.430","2.686","160.859","120.788"
"4","GTLM","Tommy Milner","6","2:02.133","38:00.616","Green","Track","5.605","5.254","23.811","14.686","27.702","9.453","19.866","0.612","11.073","1.412","2.659","138.518","122.328"
"3","GTLM","Antonio Garcia","5","2:08.048","38:21.810","Green","Track","5.599","5.282","24.206","17.327","31.673","10.640","18.439","0.528","10.263","1.421","2.670","160.554","121.553"
"25","GTLM","Tom Blomqvist","4","2:13.840","39:15.790","Green","Pit","5.656","5.230","23.847","16.375","27.533","9.156","18.375","0.624","13.135","3.532","10.377","135.854","48.904"
"24","GTLM","Jesse Krohn","4","1:56.697","39:24.107","Green","Track","5.631","5.224","23.772","14.880","25.865","8.677","17.749","0.524","10.249","1.434","2.692","161.780","120.451"
"912","GTLM","Laurens Vanthoor","5","2:21.632","39:37.161","Green","Pit","5.592","5.263","24.845","16.809","29.348","10.030","21.068","0.810","14.413","3.299","10.155","104.658","52.357"
"4","GTLM","Tommy Milner","7","1:56.500","39:57.116","Green","Track","5.617","5.368","23.862","14.662","25.649","8.699","17.857","0.527","10.160","1.425","2.674","160.859","121.212"
"66","GTLM","Dirk Mueller","6","2:43.627","40:13.766","Finish","Pit","6.521","7.098","35.098","19.732","32.792","10.842","23.343","0.761","13.475","3.502","10.463","111.396","49.322"
"3","GTLM","Antonio Garcia","6","2:33.065","40:54.875","Finish","Pit","5.641","5.330","30.729","19.771","30.675","10.795","21.377","0.750","13.955","3.932","10.110","113.030","43.929"
"24","GTLM","Jesse Krohn","5","2:19.967","41:44.074","Finish","Pit","5.676","5.683","27.281","16.300","29.158","9.858","19.728","0.646","12.368","3.100","10.169","131.227","55.718"
"10","DPi","Jordan Taylor","1","52:08.239","52:08.239","Green","Track","0.000","9.373","25.097","15.065","24.888","8.131","16.964","0.572","9.795","1.304","2.469","148.204","132.460"
"31","DPi","Pipo Derani","1","52:14.619","52:14.619","Green","Track","0.000","9.639","25.560","15.143","25.690","8.283","18.217","0.507","9.552","1.300","2.463","167.205","132.867"
"5","DPi","Filipe Albuquerque","1","52:17.195","52:17.195","Green","Track","0.000","9.408","24.744","15.681","25.380","8.472","16.816","0.493","10.276","1.338","2.505","171.953","129.094"
"38","LMP2","Kyle Masson","1","52:17.983","52:17.983","Green","Track","0.000","9.950","26.692","15.873","26.496","8.514","17.169","0.523","11.038","1.416","2.617","162.089","121.983"
"52","LMP2","Matthew McMurry","1","52:20.182","52:20.182","Green","Track","0.000","10.231","26.292","16.337","27.358","8.727","17.152","0.515","10.386","1.341","2.527","164.607","128.805"
"50","DPi","Will Owen","1","52:34.910","52:34.910","Green","Track","22.862","9.381","27.469","16.602","26.118","9.634","20.821","0.768","11.377","1.353","2.522","110.381","127.662"
"7","DPi","Helio Castroneves","1","52:58.860","52:58.860","Green","Track","0.000","10.642","31.081","23.953","49.475","9.801","17.112","0.490","9.519","1.305","2.456","173.006","132.358"
"54","DPi","Jonathan Bennett","1","53:06.909","53:06.909","Green","Track","0.000","11.957","27.547","15.180","25.475","8.521","17.253","0.495","10.471","1.335","2.477","171.258","129.384"
"77","DPi","Tristan Nunez","1","53:25.564","53:25.564","Green","Track","22.848","11.111","29.662","15.367","29.954","10.223","23.029","0.645","11.461","1.387","2.574","131.431","124.533"
"84","DPi","Simon Trummer","1","53:39.745","53:39.745","Green","Track","0.000","12.857","30.972","16.891","27.158","8.793","17.659","0.501","9.831","1.346","2.511","169.207","128.326"
"6","DPi","Dane Cameron","1","53:49.789","53:49.789","Green","Track","0.000","9.783","26.044","15.935","27.642","10.749","19.048","0.501","9.457","1.298","2.448","169.207","133.072"
"85","DPi","Tristan Vautier","1","53:52.830","53:52.830","Green","Track","0.000","9.008","26.012","15.005","29.587","10.577","19.901","0.536","9.554","1.294","2.464","158.158","133.483"
"10","DPi","Jordan Taylor","2","1:50.673","53:58.912","Green","Track","5.243","4.579","21.957","13.733","23.656","7.858","16.665","0.797","12.425","1.299","2.461","106.365","132.969"
"31","DPi","Pipo Derani","2","1:46.947","54:01.566","Green","Track","5.217","4.649","22.084","13.683","23.600","7.839","16.349","0.493","9.264","1.305","2.464","171.953","132.358"
"5","DPi","Filipe Albuquerque","2","1:47.275","54:04.470","Green","Track","5.238","4.666","22.145","13.801","23.541","7.991","16.419","0.492","9.241","1.294","2.447","172.302","133.483"
"38","LMP2","Kyle Masson","2","1:51.718","54:09.701","Green","Track","5.473","5.003","23.082","14.564","24.702","8.137","16.842","0.503","9.534","1.349","2.529","168.534","128.041"
"52","LMP2","Matthew McMurry","2","1:54.107","54:14.289","Green","Track","5.410","5.073","25.667","14.844","24.572","8.132","16.661","0.499","9.450","1.316","2.483","169.885","131.252"
"50","DPi","Will Owen","2","1:58.429","54:33.339","Green","Track","5.360","5.107","22.352","14.034","25.596","11.723","20.141","0.511","9.814","1.317","2.474","165.896","131.152"
"7","DPi","Helio Castroneves","2","1:46.341","54:45.201","Green","Track","5.155","4.424","21.893","13.850","23.496","7.859","16.290","0.488","9.157","1.290","2.439","173.715","133.897"
"54","DPi","Jonathan Bennett","2","1:51.073","54:57.982","Green","Track","5.291","5.198","22.760","14.484","24.290","8.116","16.830","0.489","9.843","1.316","2.456","173.359","131.252"
"77","DPi","Tristan Nunez","2","1:54.935","55:20.499","Green","Track","5.549","5.661","24.521","14.838","24.346","7.960","17.908","0.576","9.885","1.277","2.414","147.175","135.260"
"84","DPi","Simon Trummer","2","1:51.552","55:31.297","Green","Track","5.282","4.951","23.119","14.520","25.235","7.987","16.804","0.496","9.377","1.311","2.470","170.913","131.752"
"6","DPi","Dane Cameron","2","1:45.865","55:35.654","Green","Track","5.147","4.475","21.819","13.637","23.521","7.816","16.134","0.485","9.123","1.282","2.426","174.789","134.733"
"85","DPi","Tristan Vautier","2","1:47.275","55:40.105","Green","Track","5.221","4.588","22.110","13.906","23.728","7.932","16.388","0.498","9.134","1.303","2.467","170.226","132.561"
"10","DPi","Jordan Taylor","3","1:46.978","55:45.890","Green","Track","5.201","4.462","22.045","13.960","23.679","7.814","16.450","0.493","9.134","1.293","2.447","171.953","133.586"
"31","DPi","Pipo Derani","3","1:46.690","55:48.256","Green","Track","5.184","4.488","21.919","13.759","23.563","7.938","16.406","0.492","9.204","1.291","2.446","172.302","133.793"
"5","DPi","Filipe Albuquerque","3","1:46.431","55:50.901","Green","Track","5.155","4.481","21.988","13.822","23.507","7.869","16.237","0.489","9.159","1.286","2.438","173.359","134.314"
"38","LMP2","Kyle Masson","3","1:50.460","56:00.161","Green","Track","5.375","4.912","22.831","14.236","24.450","7.989","16.778","0.501","9.517","1.348","2.523","169.207","128.136"
"52","LMP2","Matthew McMurry","3","1:49.941","56:04.230","Green","Track","5.259","4.662","22.443","14.264","24.343","7.947","17.140","0.501","9.553","1.330","2.499","169.207","129.870"
"50","DPi","Will Owen","3","1:47.500","56:20.839","Green","Track","5.220","4.772","22.141","13.942","23.541","7.791","16.387","0.493","9.443","1.308","2.462","171.953","132.054"
"7","DPi","Helio Castroneves","3","1:46.077","56:31.278","Green","Track","5.128","4.303","21.888","13.840","23.618","7.800","16.215","0.486","9.096","1.280","2.423","174.429","134.943"
"54","DPi","Jonathan Bennett","3","1:50.107","56:48.089","Green","Track","5.186","5.137","22.953","13.920","24.236","8.149","16.580","0.488","9.693","1.314","2.451","173.715","131.452"
"77","DPi","Tristan Nunez","3","1:46.011","57:06.510","Green","Track","5.121","4.515","21.797","13.653","23.605","7.812","16.035","0.484","9.312","1.274","2.403","175.150","135.579"
"84","DPi","Simon Trummer","3","1:51.161","57:22.458","Green","Track","5.202","4.699","22.727","14.741","25.574","8.083","16.623","0.491","9.246","1.310","2.465","172.653","131.853"
"6","DPi","Dane Cameron","3","1:50.314","57:25.968","Green","Track","5.104","4.365","22.216","14.612","24.698","8.814","16.934","0.487","9.338","1.304","2.442","174.071","132.460"
"85","DPi","Tristan Vautier","3","1:47.338","57:27.443","Green","Track","5.210","4.570","22.151","13.870","23.761","7.910","16.324","0.496","9.284","1.301","2.461","170.913","132.765"
"10","DPi","Jordan Taylor","4","1:46.530","57:32.420","Green","Track","5.164","4.348","21.924","13.770","23.697","7.872","16.371","0.494","9.143","1.297","2.450","171.605","133.174"
"5","DPi","Filipe Albuquerque","4","1:46.238","57:37.139","Green","Track","5.139","4.496","21.986","13.662","23.500","7.829","16.247","0.493","9.162","1.287","2.437","171.953","134.209"
"31","DPi","Pipo Derani","4","1:56.201","57:44.457","Green","Track","5.161","4.441","22.673","15.334","27.033","9.165","17.994","0.508","10.160","1.290","2.442","166.875","133.897"
"38","LMP2","Kyle Masson","4","1:50.050","57:50.211","Green","Track","5.332","4.951","22.761","14.203","24.260","8.030","16.708","0.500","9.443","1.345","2.517","169.545","128.422"
"52","LMP2","Matthew McMurry","4","1:49.957","57:54.187","Green","Track","5.289","4.770","22.542","14.362","24.235","8.051","16.839","0.497","9.562","1.323","2.487","170.569","130.557"
"50","DPi","Will Owen","4","1:47.478","58:08.317","Green","Track","5.184","4.682","22.200","13.871","23.806","7.800","16.357","0.490","9.343","1.299","2.446","173.006","132.969"
"7","DPi","Helio Castroneves","4","1:46.011","58:17.289","Green","Track","5.097","4.276","21.771","13.985","23.609","7.747","16.246","0.487","9.061","1.296","2.436","174.071","133.277"
"54","DPi","Jonathan Bennett","4","1:50.029","58:38.118","Green","Track","5.142","5.109","22.907","14.059","24.071","8.102","16.567","0.488","9.816","1.316","2.452","173.715","131.252"
"55","DPi","Jonathan Bomarito","1","58:45.062","58:45.062","Green","Track","22.747","9.628","26.782","15.172","26.718","8.335","17.600","0.506","9.858","1.287","2.414","167.535","134.209"
