"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"10","DPi","Renger Van Der Zande","6","1:30.314","13:37.728","Green","Track","3.509","11.885","0.519","14.678","10.767","8.788","0.514","13.626","10.193","9.734","2.138","3.963","152.391","157.853"
"77","DPi","Tristan Nunez","6","1:29.919","13:37.944","Green","Track","3.540","11.713","0.519","14.418","10.877","8.757","0.514","13.654","10.172","9.750","2.105","3.900","152.391","157.853"
"50","DPi","Victor Franzoni","6","1:30.149","13:38.694","Green","Track","3.439","12.024","0.528","14.254","10.727","8.964","0.517","13.441","10.150","9.874","2.214","4.017","149.793","156.937"
"85","DPi","Misha Goikhberg","6","1:29.953","13:38.923","Green","Track","3.506","12.044","0.522","14.063","10.760","8.801","0.520","13.552","10.354","9.718","2.137","3.976","151.515","156.031"
"54","DPi","Jonathan Bennett","6","1:32.590","13:42.150","Green","Track","3.658","12.235","0.519","14.438","10.915","8.833","0.562","14.380","10.675","10.220","2.175","3.980","152.391","144.371"
"73","GTD","Zacharie Robichon","6","1:33.053","13:43.732","Green","Track","3.570","12.813","0.576","13.950","10.568","9.868","0.580","13.453","10.450","10.325","2.424","4.476","137.311","139.890"
"57","GTD","Christina Nielsen","6","1:33.347","13:44.244","Green","Track","3.645","12.925","0.570","13.934","10.605","9.897","0.574","13.586","10.519","10.273","2.396","4.423","138.756","141.353"
"86","GTD","Trent Hindman","6","1:33.926","13:45.569","Green","Track","3.590","12.868","0.567","14.372","10.718","9.910","0.575","13.569","10.435","10.435","2.437","4.450","139.490","141.107"
"14","GTD","Richard Heistand","6","1:34.867","13:46.862","Green","Track","3.573","13.078","0.578","14.366","11.277","9.972","0.579","13.701","10.444","10.412","2.417","4.470","136.835","140.132"
"12","GTD","Frank Montecalvo","6","1:35.510","13:48.181","Green","Track","3.452","13.153","0.582","14.474","11.065","10.020","0.583","14.089","10.624","10.553","2.426","4.489","135.895","139.170"
"76","GTD","Matt Plumb","6","1:35.998","13:49.118","Green","Track","3.770","13.173","0.579","14.465","11.012","10.003","0.586","14.147","10.811","10.463","2.459","4.530","136.599","138.458"
"44","GTD","John Potter","6","1:35.841","13:49.402","Green","Track","3.704","13.375","0.583","14.348","10.843","9.842","0.576","14.237","10.777","10.639","2.435","4.482","135.662","140.862"
"8","GTD","Parker Chase","6","1:35.987","13:49.957","Green","Track","3.796","13.348","0.583","14.474","10.916","10.035","0.593","13.898","10.835","10.513","2.456","4.540","135.662","136.824"
"96","GTD","Robby Foley","6","1:35.747","13:50.336","Green","Track","3.926","12.921","0.566","15.280","11.275","9.825","0.572","13.808","10.475","10.370","2.362","4.367","139.737","141.847"
"74","GTD","Gar Robinson V","6","1:37.061","13:51.541","Green","Track","3.666","13.279","0.583","15.341","11.549","9.939","0.583","13.945","10.751","10.545","2.418","4.462","135.662","139.170"
"48","GTD","Ryan Hardwick","6","2:00.812","14:16.159","Green","Pit","3.958","13.380","0.581","14.498","11.511","9.874","0.574","14.261","10.849","10.644","6.399","24.283","136.129","141.353"
"6","DPi","Juan Pablo Montoya","7","1:26.162","15:00.511","Green","Track","3.146","11.380","0.507","13.347","10.165","8.804","0.516","13.032","9.911","9.322","2.105","3.927","155.998","157.241"
"31","DPi","Pipo Derani","7","1:26.077","15:00.979","Green","Track","3.088","11.303","0.514","13.387","10.053","8.741","0.524","13.116","9.878","9.416","2.110","3.947","153.873","154.840"
"55","DPi","Jonathan Bomarito","7","1:26.517","15:01.735","Green","Track","3.207","11.357","0.507","13.546","10.159","8.649","0.510","13.087","9.967","9.539","2.099","3.890","155.998","159.091"
"7","DPi","Helio Castroneves","7","1:26.678","15:03.113","Green","Track","3.268","11.180","0.503","13.478","10.243","8.833","0.509","13.129","10.048","9.500","2.092","3.895","157.238","159.403"
"5","DPi","Joao Barbosa","7","1:26.881","15:03.776","Green","Track","3.195","11.355","0.514","13.299","10.057","8.811","0.515","13.297","10.061","9.646","2.157","3.974","153.873","157.546"
"84","DPi","Simon Trummer","7","1:26.873","15:04.182","Green","Track","3.215","11.523","0.515","13.197","10.051","8.742","0.514","13.201","10.016","9.767","2.152","3.980","153.575","157.853"
"10","DPi","Renger Van Der Zande","7","1:27.308","15:05.036","Green","Track","3.282","11.499","0.509","13.456","10.199","8.752","0.513","13.042","10.143","9.794","2.164","3.955","155.385","158.161"
"77","DPi","Tristan Nunez","7","1:27.187","15:05.131","Green","Track","3.293","11.517","0.506","13.628","10.171","8.654","0.507","13.089","10.137","9.640","2.122","3.923","156.306","160.032"
"50","DPi","Victor Franzoni","7","1:26.684","15:05.378","Green","Track","3.144","11.382","0.509","13.483","10.129","8.831","0.514","12.926","10.054","9.643","2.126","3.943","155.385","157.853"
"85","DPi","Misha Goikhberg","7","1:27.684","15:06.607","Green","Track","3.429","11.503","0.516","13.366","10.180","8.837","0.521","13.746","9.968","9.567","2.110","3.941","153.277","155.732"
"54","DPi","Jonathan Bennett","7","1:30.775","15:12.925","Green","Track","3.541","11.896","0.515","14.270","10.537","8.775","0.515","14.053","10.493","10.166","2.113","3.901","153.575","157.546"
"73","GTD","Zacharie Robichon","7","1:31.891","15:15.623","Green","Track","3.415","12.630","0.573","13.755","10.402","9.815","0.579","13.281","10.351","10.221","2.406","4.463","138.030","140.132"
"57","GTD","Christina Nielsen","7","1:32.252","15:16.496","Green","Track","3.387","12.656","0.566","13.796","10.622","9.923","0.575","13.356","10.389","10.167","2.390","4.425","139.737","141.107"
"86","GTD","Trent Hindman","7","1:32.655","15:18.224","Green","Track","3.345","12.672","0.567","14.010","10.641","9.927","0.575","13.554","10.306","10.234","2.400","4.424","139.490","141.107"
"14","GTD","Richard Heistand","7","1:32.450","15:19.312","Green","Track","3.381","12.646","0.569","13.930","10.527","9.855","0.575","13.541","10.320","10.251","2.404","4.451","139.000","141.107"
"12","GTD","Frank Montecalvo","7","1:33.185","15:21.366","Green","Track","3.495","12.921","0.579","14.035","10.592","9.907","0.580","13.590","10.335","10.291","2.402","4.458","136.599","139.890"
"76","GTD","Matt Plumb","7","1:35.075","15:24.193","Green","Track","3.628","12.988","0.578","14.875","10.745","9.919","0.581","13.624","10.556","10.649","2.431","4.501","136.835","139.650"
"44","GTD","John Potter","7","1:35.096","15:24.498","Green","Track","3.508","13.018","0.575","14.960","10.753","9.897","0.579","13.639","10.527","10.654","2.471","4.515","137.549","140.132"
"8","GTD","Parker Chase","7","1:35.186","15:25.143","Green","Track","3.454","12.875","0.578","14.882","10.899","10.056","0.588","13.900","10.511","10.463","2.449","4.531","136.835","137.987"
"96","GTD","Robby Foley","7","1:34.956","15:25.292","Green","Track","3.641","12.772","0.563","14.629","11.051","9.686","0.566","14.253","10.514","10.522","2.381","4.378","140.481","143.350"
"74","GTD","Gar Robinson V","7","1:34.562","15:26.103","Green","Track","3.428","12.823","0.575","14.281","10.786","9.897","0.578","14.156","10.674","10.446","2.437","4.481","137.549","140.374"
"48","GTD","Ryan Hardwick","7","1:41.518","15:57.677","Green","Track","9.596","14.405","0.584","14.095","10.731","9.981","0.585","13.720","10.412","10.498","2.421","4.490","135.430","138.695"
"6","DPi","Juan Pablo Montoya","8","1:24.858","16:25.369","Green","Track","3.050","11.142","0.506","13.013","9.973","8.745","0.521","12.748","9.797","9.330","2.111","3.922","156.306","155.732"
"31","DPi","Pipo Derani","8","1:24.874","16:25.853","Green","Track","3.087","11.271","0.517","13.140","9.860","8.737","0.520","12.681","9.701","9.303","2.114","3.943","152.980","156.031"
"55","DPi","Jonathan Bomarito","8","1:25.628","16:27.363","Green","Track","3.096","11.197","0.508","13.267","10.087","8.699","0.511","12.977","9.907","9.414","2.081","3.884","155.691","158.780"
"7","DPi","Helio Castroneves","8","1:25.288","16:28.401","Green","Track","3.203","11.003","0.502","13.121","10.072","8.757","0.516","12.877","9.888","9.374","2.082","3.893","157.552","157.241"
"5","DPi","Joao Barbosa","8","1:25.831","16:29.607","Green","Track","3.133","11.217","0.515","13.103","9.898","8.796","0.535","13.023","9.887","9.525","2.196","4.003","153.575","151.657"
"84","DPi","Simon Trummer","8","1:25.739","16:29.921","Green","Track","3.117","11.280","0.512","13.138","9.897","8.750","0.513","13.110","9.810","9.431","2.136","4.045","154.474","158.161"
"10","DPi","Renger Van Der Zande","8","1:25.530","16:30.566","Green","Track","3.143","11.382","0.508","13.118","10.025","8.761","0.514","12.815","9.757","9.446","2.125","3.936","155.691","157.853"
"77","DPi","Tristan Nunez","8","1:25.553","16:30.684","Green","Track","3.270","11.371","0.500","13.286","10.012","8.633","0.505","12.972","9.699","9.352","2.091","3.862","158.182","160.666"
"50","DPi","Victor Franzoni","8","1:25.780","16:31.158","Green","Track","3.305","11.505","0.511","13.197","9.950","8.786","0.515","12.851","9.755","9.353","2.116","3.936","154.777","157.546"
"85","DPi","Misha Goikhberg","8","1:25.627","16:32.234","Green","Track","3.251","11.296","0.513","13.242","9.943","8.767","0.517","12.885","9.806","9.355","2.116","3.936","154.173","156.937"
"54","DPi","Jonathan Bennett","8","1:28.693","16:41.618","Green","Track","3.450","11.763","0.506","13.697","10.375","8.789","0.508","13.405","10.289","9.904","2.113","3.894","156.306","159.717"
"73","GTD","Zacharie Robichon","8","1:31.587","16:47.210","Green","Track","3.388","12.634","0.573","13.665","10.294","9.813","0.578","13.210","10.476","10.117","2.389","4.450","138.030","140.374"
"57","GTD","Christina Nielsen","8","1:31.821","16:48.317","Green","Track","3.390","12.650","0.565","13.542","10.506","9.824","0.574","13.370","10.384","10.164","2.408","4.444","139.984","141.353"
"86","GTD","Trent Hindman","8","1:31.890","16:50.114","Green","Track","3.325","12.660","0.567","13.818","10.446","9.886","0.574","13.367","10.261","10.164","2.394","4.428","139.490","141.353"
"14","GTD","Richard Heistand","8","1:32.002","16:51.314","Green","Track","3.310","12.680","0.575","13.866","10.455","9.825","0.575","13.388","10.263","10.214","2.400","4.451","137.549","141.107"
"12","GTD","Frank Montecalvo","8","1:31.923","16:53.289","Green","Track","3.280","12.702","0.574","13.659","10.444","9.953","0.581","13.325","10.303","10.252","2.396","4.454","137.789","139.650"
"76","GTD","Matt Plumb","8","1:32.806","16:56.999","Green","Track","3.468","12.622","0.575","14.279","10.607","9.876","0.586","13.427","10.400","10.155","2.373","4.438","137.549","138.458"
"44","GTD","John Potter","8","1:33.225","16:57.723","Green","Track","3.454","12.780","0.572","14.044","10.749","9.912","0.580","13.423","10.527","10.285","2.426","4.473","138.271","139.890"
"8","GTD","Parker Chase","8","1:33.635","16:58.778","Green","Track","3.414","12.652","0.577","14.051","10.693","10.040","0.584","13.700","10.513","10.443","2.456","4.512","137.073","138.932"
"96","GTD","Robby Foley","8","1:33.567","16:58.859","Green","Track","3.655","12.555","0.559","14.195","10.773","9.682","0.569","13.951","10.317","10.485","2.356","4.470","141.486","142.595"
"74","GTD","Gar Robinson V","8","1:33.503","16:59.606","Green","Track","3.428","12.712","0.573","14.146","10.691","9.901","0.578","13.733","10.569","10.331","2.401","4.440","138.030","140.374"
"48","GTD","Ryan Hardwick","8","1:32.945","17:30.622","Green","Track","3.478","12.705","0.574","13.753","10.510","9.924","0.583","13.608","10.361","10.508","2.436","4.505","137.789","139.170"
"6","DPi","Juan Pablo Montoya","9","1:24.287","17:49.656","Green","Track","3.022","10.978","0.506","13.090","9.835","8.714","0.521","12.600","9.726","9.265","2.110","3.920","156.306","155.732"
"31","DPi","Pipo Derani","9","1:24.207","17:50.060","Green","Track","3.037","11.281","0.513","12.988","9.723","8.734","0.522","12.566","9.498","9.306","2.104","3.935","154.173","155.434"
"55","DPi","Jonathan Bomarito","9","1:24.577","17:51.940","Green","Track","3.043","11.057","0.506","13.101","9.808","8.724","0.513","12.760","9.901","9.231","2.072","3.861","156.306","158.161"
"7","DPi","Helio Castroneves","9","1:24.867","17:53.268","Green","Track","3.144","10.963","0.510","13.068","10.010","8.747","0.539","12.905","9.765","9.249","2.076","3.891","155.080","150.531"
"5","DPi","Joao Barbosa","9","1:25.169","17:54.776","Green","Track","3.093","11.161","0.512","13.188","9.749","8.801","0.539","12.934","9.710","9.380","2.136","3.966","154.474","150.531"
"84","DPi","Simon Trummer","9","1:25.175","17:55.096","Green","Track","3.265","11.257","0.511","13.138","9.793","8.811","0.519","12.839","9.673","9.323","2.113","3.933","154.777","156.332"
"10","DPi","Renger Van Der Zande","9","1:25.216","17:55.782","Green","Track","3.197","11.256","0.507","13.072","9.813","8.673","0.511","12.938","9.743","9.461","2.115","3.930","155.998","158.780"
"77","DPi","Tristan Nunez","9","1:25.335","17:56.019","Green","Track","3.313","11.284","0.500","13.163","9.980","8.677","0.506","12.747","9.756","9.422","2.100","3.887","158.182","160.349"
"50","DPi","Victor Franzoni","9","1:25.321","17:56.479","Green","Track","3.046","11.487","0.510","13.026","9.981","8.812","0.515","12.583","9.988","9.335","2.109","3.929","155.080","157.546"
"85","DPi","Misha Goikhberg","9","1:25.212","17:57.446","Green","Track","3.165","11.346","0.514","13.068","9.866","8.765","0.519","12.876","9.776","9.302","2.092","3.923","153.873","156.332"
"54","DPi","Jonathan Bennett","9","1:28.177","18:09.795","Green","Track","3.292","11.709","0.507","13.493","10.348","8.741","0.506","13.417","10.305","9.887","2.100","3.872","155.998","160.349"
"73","GTD","Zacharie Robichon","9","1:31.368","18:18.578","Green","Track","3.399","12.603","0.573","13.692","10.277","9.825","0.579","13.235","10.296","10.044","2.393","4.452","138.030","140.132"
