"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"14","GTD","Richard Heistand","48","1:30.727","1:41:45.799","Green","Track","3.226","12.593","0.563","13.464","10.209","9.814","0.577","13.277","10.141","10.084","2.371","4.408","140.481","140.618"
"48","GTD","Ryan Hardwick","45","1:32.185","1:41:54.780","Green","Track","3.402","12.659","0.565","13.462","10.430","9.908","0.581","13.548","10.376","10.371","2.426","4.457","139.984","139.650"
"77","DPi","Tristan Nunez","31","1:26.019","1:41:57.339","Green","Track","2.953","11.239","0.503","14.558","10.784","8.652","0.510","12.499","9.374","9.063","2.051","3.833","157.238","159.091"
"73","GTD","Zacharie Robichon","50","1:32.975","1:42:01.557","Green","Track","3.457","12.616","0.565","15.165","10.620","9.786","0.577","13.244","10.268","9.940","2.347","4.390","139.984","140.618"
"5","DPi","Joao Barbosa","53","1:25.832","1:42:02.685","Green","Track","2.896","11.051","0.508","12.728","9.983","8.756","0.521","13.420","10.173","9.714","2.138","3.944","155.691","155.732"
"84","DPi","Simon Trummer","52","1:52.758","1:42:09.534","Green","Track","9.357","16.421","0.735","19.122","13.694","9.336","0.640","16.725","10.482","10.060","2.176","4.010","107.607","126.776"
"54","DPi","Jonathan Bennett","42","3:30.300","1:42:11.749","Green","Pit","3.252","11.575","0.497","13.262","10.125","8.668","0.505","13.691","10.441","10.338","7.031","120.915","159.137","160.666"
"12","GTD","Frank Montecalvo","46","1:33.023","1:42:11.813","Green","Track","3.376","12.943","0.572","13.760","10.780","9.881","0.581","13.527","10.317","10.426","2.409","4.451","138.271","139.650"
"96","GTD","Robby Foley","32","1:32.011","1:42:19.347","Green","Track","3.427","12.420","0.556","13.716","10.995","9.719","0.571","13.461","10.324","10.146","2.343","4.333","142.250","142.095"
"8","GTD","Parker Chase","30","1:47.441","1:42:22.764","Green","Track","9.465","15.397","0.615","15.530","11.661","10.755","0.613","14.670","10.965","10.748","2.474","4.548","128.603","132.359"
"6","DPi","Juan Pablo Montoya","42","1:32.217","1:42:26.558","Green","Track","2.909","10.919","0.524","15.780","11.509","9.133","0.578","14.239","11.521","9.192","2.064","3.849","150.937","140.374"
"55","DPi","Jonathan Bomarito","44","1:26.220","1:42:29.003","Green","Track","2.856","10.722","0.495","12.549","9.440","8.630","0.519","13.901","10.920","10.279","2.074","3.835","159.780","156.332"
"57","GTD","Christina Nielsen","40","1:46.241","1:42:41.051","Green","Pit","3.401","12.946","0.563","14.533","10.688","9.882","0.580","14.147","11.527","11.357","5.061","11.556","140.481","139.890"
"31","DPi","Pipo Derani","52","1:22.259","1:42:41.936","Green","Track","2.923","10.964","0.504","12.612","9.315","8.680","0.517","12.244","9.741","8.849","2.050","3.860","156.926","156.937"
"50","DPi","Victor Franzoni","45","1:37.800","1:42:48.010","Green","Track","9.471","14.261","0.555","14.040","10.164","8.901","0.521","13.371","10.342","9.998","2.187","3.989","142.506","155.732"
"85","DPi","Misha Goikhberg","32","1:24.469","1:42:53.149","Green","Track","3.092","11.292","0.511","12.867","9.848","8.788","0.526","12.508","9.739","9.248","2.108","3.942","154.777","154.252"
"10","DPi","Jordan Taylor","48","1:23.836","1:43:01.086","Green","Track","2.919","10.902","0.498","13.114","10.401","8.779","0.518","12.145","9.437","9.147","2.077","3.899","158.817","156.634"
"74","GTD","Gar Robinson V","43","2:34.178","1:43:04.095","Green","Pit","3.339","12.575","0.568","15.034","10.855","9.859","0.581","13.725","10.479","10.921","5.364","60.878","139.245","139.650"
"44","GTD","Andy Lally","47","1:32.240","1:43:06.855","Green","Track","3.229","12.462","0.564","13.588","10.362","9.897","0.581","13.497","10.478","10.713","2.413","4.456","140.232","139.650"
"14","GTD","Richard Heistand","49","1:30.709","1:43:16.508","Green","Track","3.188","12.593","0.560","13.480","10.250","9.821","0.578","13.200","10.197","10.067","2.369","4.406","141.234","140.374"
"77","DPi","Tristan Nunez","32","1:24.661","1:43:22.000","Green","Track","2.855","10.835","0.490","13.717","10.474","8.620","0.511","12.460","9.617","9.184","2.061","3.837","161.410","158.780"
"5","DPi","Joao Barbosa","54","1:23.163","1:43:25.848","Green","Track","2.970","11.244","0.508","12.610","9.443","8.702","0.518","12.343","9.525","9.308","2.091","3.901","155.691","156.634"
"48","GTD","Ryan Hardwick","46","1:31.720","1:43:26.500","Green","Track","3.335","12.636","0.563","13.674","10.387","9.860","0.577","13.344","10.277","10.231","2.397","4.439","140.481","140.618"
"73","GTD","Zacharie Robichon","51","1:30.057","1:43:31.614","Green","Track","3.361","12.340","0.561","13.514","10.132","9.728","0.576","12.972","10.128","9.978","2.364","4.403","140.982","140.862"
"84","DPi","Simon Trummer","53","1:24.899","1:43:34.433","Green","Track","3.249","11.563","0.515","13.157","9.826","8.746","0.522","12.456","9.711","9.137","2.091","3.926","153.575","155.434"
"12","GTD","Frank Montecalvo","47","1:31.263","1:43:43.076","Green","Track","3.285","12.561","0.566","13.499","10.381","9.874","0.581","13.194","10.296","10.192","2.395","4.439","139.737","139.650"
"54","DPi","Colin Braun","43","1:39.123","1:43:50.872","Green","Track","9.315","14.804","0.609","14.548","10.345","8.687","0.547","13.560","10.412","10.293","2.128","3.875","129.870","148.330"
"8","GTD","Parker Chase","31","1:35.659","1:43:58.423","Green","Track","3.521","12.928","0.580","13.757","11.362","10.124","0.595","14.374","10.733","10.714","2.445","4.526","136.364","136.364"
"31","DPi","Pipo Derani","53","1:20.453","1:44:02.389","Green","Track","2.805","10.849","0.502","12.207","9.160","8.687","0.515","11.908","9.191","8.748","2.038","3.843","157.552","157.546"
"50","DPi","Victor Franzoni","46","1:26.271","1:44:14.281","Green","Track","3.177","11.370","0.508","13.149","10.192","8.946","0.524","12.851","9.794","9.567","2.192","4.001","155.691","154.840"
"85","DPi","Misha Goikhberg","33","1:24.263","1:44:17.412","Green","Track","2.976","11.166","0.511","12.806","9.704","8.788","0.522","12.831","9.676","9.258","2.092","3.933","154.777","155.434"
"10","DPi","Jordan Taylor","49","1:22.430","1:44:23.516","Green","Track","2.882","10.840","0.500","12.440","9.431","8.695","0.516","12.020","9.390","9.647","2.126","3.943","158.182","157.241"
"86","GTD","Trent Hindman","36","4:33.335","1:44:24.120","Green","Track","171.628","16.596","0.596","15.217","11.176","13.654","0.940","15.078","10.880","10.737","2.406","4.427","132.703","86.315"
"96","GTD","Robby Foley","33","2:05.152","1:44:24.499","Green","Pit","3.371","12.705","0.559","13.564","10.430","9.734","0.568","13.587","10.428","10.482","6.078","33.646","141.486","142.846"
"44","GTD","Andy Lally","48","1:32.665","1:44:39.520","Green","Track","3.266","12.441","0.566","14.181","10.782","9.980","0.583","13.309","10.273","10.435","2.408","4.441","139.737","139.170"
"77","DPi","Tristan Nunez","33","1:23.567","1:44:45.567","Green","Track","2.868","10.821","0.493","13.187","10.073","8.551","0.509","12.513","9.495","9.163","2.060","3.834","160.428","159.403"
"74","GTD","Gar Robinson V","44","1:42.270","1:44:46.365","Green","Track","9.475","14.565","0.579","14.114","11.007","9.859","0.585","13.852","10.556","10.624","2.429","4.625","136.599","138.695"
"5","DPi","Joao Barbosa","55","1:22.438","1:44:48.286","Green","Track","2.795","11.087","0.509","12.303","9.826","8.822","0.518","12.200","9.358","9.054","2.079","3.887","155.385","156.634"
"48","GTD","Ryan Hardwick","47","1:31.428","1:44:57.928","Green","Track","3.408","12.395","0.560","13.484","10.374","9.796","0.577","13.170","10.443","10.325","2.434","4.462","141.234","140.618"
"84","DPi","Simon Trummer","54","1:23.865","1:44:58.298","Green","Track","2.891","11.289","0.514","12.602","10.112","8.774","0.524","12.406","9.458","9.212","2.133","3.950","153.873","154.840"
"73","GTD","Zacharie Robichon","52","1:30.011","1:45:01.625","Green","Track","3.408","12.369","0.563","13.365","10.140","9.709","0.576","12.987","10.258","9.913","2.342","4.381","140.481","140.862"
