"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"54","TCR","Michael Johnson","2","2:17.534","5:58.235","Green","Track","6.730","6.442","28.793","17.297","29.999","10.400","20.750","0.611","11.723","1.664","3.125","138.744","103.802"
"98","TCR","Mark Wilkins","2","2:19.148","6:45.244","Green","Track","7.093","7.014","28.635","17.471","30.310","10.352","20.805","0.624","11.977","1.690","3.177","135.854","102.205"
"37","TCR","Shelby Blackstock","3","2:15.241","7:08.683","Green","Track","6.699","6.183","27.522","17.059","29.808","10.103","20.635","0.624","11.805","1.658","3.145","135.854","104.178"
"21","TCR","Harry Gottsacker","2","2:17.434","7:13.711","Green","Track","6.765","6.515","27.963","17.206","30.148","10.274","20.896","0.629","12.081","1.723","3.234","134.774","100.248"
"84","TCR","Brian Henderson","3","2:15.948","7:14.554","Green","Track","6.624","6.274","27.537","17.107","29.910","10.185","21.140","0.622","11.756","1.662","3.131","136.291","103.927"
"73","TCR","Mike LaMarra","3","2:16.246","7:16.085","Green","Track","6.659","6.361","28.113","16.965","29.681","10.130","21.135","0.623","11.766","1.661","3.152","136.072","103.990"
"52","TCR","Max Faulkner","3","2:15.747","7:17.702","Green","Track","6.695","6.444","27.717","16.930","29.577","10.165","20.866","0.625","11.891","1.676","3.161","135.636","103.059"
"17","TCR","Britt Casey Jr","3","2:14.689","7:27.857","Green","Track","6.654","6.103","27.426","16.981","29.868","10.159","20.548","0.617","11.523","1.668","3.142","137.395","103.554"
"23","TCR","Nick Galante","3","2:16.930","7:35.691","Green","Track","6.595","6.362","28.113","17.106","30.263","10.269","20.908","0.618","11.797","1.702","3.197","137.173","101.485"
"3","TCR","Alexandre Papadopulos","3","2:20.504","7:36.692","Green","Track","6.985","6.564","28.145","17.761","31.877","10.809","20.758","0.620","12.145","1.675","3.165","136.730","103.121"
"12","TCR","Russell McDonough","3","2:16.090","7:37.428","Green","Track","6.661","6.293","27.577","17.138","30.072","10.246","20.817","0.608","11.870","1.674","3.134","139.429","103.182"
"10","TCR","Kieron O'Rourke","3","2:40.432","7:44.464","Green","Track","22.939","11.565","29.478","17.242","30.264","10.590","21.002","0.613","11.904","1.687","3.148","138.292","102.387"
"89","TCR","Chad Gilsinger","3","2:16.235","7:54.021","Green","Track","6.754","6.268","27.738","17.202","30.075","10.189","20.738","0.631","11.777","1.686","3.177","134.347","102.448"
"61","TCR","Gavin Ernstone","3","2:18.702","8:07.088","Green","Track","6.705","6.923","28.322","17.240","30.588","10.221","21.068","0.618","12.093","1.720","3.204","137.173","100.423"
"54","TCR","Michael Johnson","3","2:15.586","8:13.821","Green","Track","6.581","6.381","27.756","16.941","29.734","10.352","20.602","0.611","11.815","1.677","3.136","138.744","102.998"
"98","TCR","Mark Wilkins","3","2:15.745","9:00.989","Green","Track","6.704","6.307","27.623","17.186","29.740","10.252","20.659","0.621","11.813","1.680","3.160","136.510","102.814"
"37","TCR","Shelby Blackstock","4","2:15.394","9:24.077","Green","Track","6.677","6.170","27.488","17.146","29.697","10.082","20.759","0.622","11.915","1.675","3.163","136.291","103.121"
