"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"73","GTD","Nicholas Boulle","28","1:48.916","1:02:33.237","Green","Track","3.367","9.045","12.614","3.947","0.509","14.303","22.556","14.708","18.246","6.108","3.513","161.413"
"7","DPi","Ricky Taylor","32","1:32.476","1:02:36.199","Green","Track","2.945","7.612","10.921","3.445","0.455","11.473","19.164","12.683","15.638","5.131","3.009","180.569"
"9","GTD","Zacharie Robichon","29","1:46.143","1:02:36.788","Green","Track","3.348","8.742","12.538","3.923","0.506","13.849","21.736","14.399","17.743","5.901","3.458","162.370"
"10","DPi","Renger Van Der Zande","32","1:32.418","1:02:38.424","Green","Track","2.907","7.564","10.983","3.458","0.446","11.425","19.024","12.641","15.941","5.020","3.009","184.213"
"48","GTD","Ryan Hardwick","29","1:46.593","1:02:41.035","Green","Track","3.332","8.772","12.552","3.905","0.504","14.124","21.936","14.235","17.931","5.851","3.451","163.014"
"5","DPi","Filipe Albuquerque","32","1:32.885","1:02:51.166","Green","Track","2.902","7.693","11.005","3.453","0.447","11.772","19.357","12.928","15.550","4.823","2.955","183.801"
"38","LMP2","Kyle Masson","31","1:37.234","1:02:53.094","Green","Track","3.062","8.094","11.362","3.582","0.464","12.268","20.052","13.590","16.494","5.147","3.119","177.067"
"31","DPi","Eric Curran","30","1:38.591","1:03:10.311","Green","Track","3.038","8.173","11.517","3.533","0.455","12.709","20.154","13.339","17.111","5.435","3.127","180.569"
"911","GTLM","Patrick Pilet","30","1:44.000","1:03:10.572","Green","Track","3.296","8.580","12.262","3.851","0.496","13.337","21.234","14.434","17.392","5.710","3.408","165.643"
"86","GTD","Trent Hindman","30","1:46.214","1:03:11.402","Green","Track","3.347","8.705","12.474","3.925","0.515","13.549","21.562","14.638","18.268","5.805","3.426","159.532"
"85","DPi","Misha Goikhberg","32","1:36.437","1:03:13.306","Green","Track","3.006","8.435","11.783","3.595","0.460","12.494","20.109","13.069","15.635","4.862","2.989","178.607"
"52","LMP2","Eric Lux","31","1:42.165","1:03:18.269","Green","Track","3.120","8.660","12.084","3.632","0.478","14.042","20.883","13.531","17.073","5.496","3.166","171.881"
"6","DPi","Dane Cameron","32","1:34.809","1:03:18.621","Green","Track","2.895","7.620","10.957","3.447","0.445","11.763","20.405","12.775","16.079","5.364","3.059","184.627"
"47","GTD","Don Yount","29","1:50.741","1:03:20.219","Green","Track","3.327","9.251","12.649","3.926","0.504","14.863","22.836","14.823","18.603","6.426","3.533","163.014"
"84","DPi","Simon Trummer","32","1:34.621","1:03:22.210","Green","Track","2.967","7.647","11.127","3.508","0.452","11.891","19.456","12.819","16.188","5.452","3.114","181.768"
"96","GTD","Dillon Machavern","30","1:46.962","1:03:22.481","Green","Track","3.287","8.904","12.261","3.848","0.497","14.719","22.148","14.270","17.839","5.821","3.368","165.310"
"63","GTD","Jeff Westphal","30","1:47.263","1:03:23.334","Green","Track","3.333","9.042","12.452","3.862","0.497","14.005","22.131","14.490","17.914","6.081","3.456","165.310"
"57","GTD","Christina Nielsen","30","1:46.545","1:03:23.895","Green","Track","3.317","8.834","12.464","3.896","0.502","13.705","22.057","14.475","17.919","5.939","3.437","163.664"
"55","DPi","Harry Tincknell","33","1:33.033","1:03:25.615","Green","Track","2.939","7.633","10.867","3.529","0.504","12.335","18.599","12.398","16.364","4.923","2.942","163.014"
"14","GTD","Richard Heistand","30","1:46.731","1:03:27.605","Green","Track","3.293","8.796","12.458","3.877","0.496","13.767","22.064","14.434","18.032","6.060","3.454","165.643"
"77","DPi","Oliver Jarvis","33","1:31.383","1:03:29.374","Green","Track","2.913","7.569","10.817","3.447","0.466","12.041","18.753","12.370","15.347","4.746","2.914","176.307"
"540","GTD","Marco Seefried","30","1:47.256","1:03:35.277","Green","Track","3.344","8.874","12.595","3.966","0.511","14.134","22.176","14.501","17.838","5.863","3.454","160.781"
"29","GTD","Daniel Morad","30","1:46.848","1:03:40.102","Green","Track","3.328","8.838","12.581","3.926","0.504","13.888","21.926","14.481","17.973","5.931","3.472","163.014"
"44","GTD","John Potter","30","1:47.428","1:03:46.114","Green","Track","3.339","8.922","12.616","3.954","0.510","14.165","22.121","14.587","17.899","5.851","3.464","161.096"
"50","DPi","Rene Binder","31","1:38.243","1:03:48.240","Green","Track","3.103","8.330","11.479","3.521","0.457","13.460","20.491","13.126","16.068","5.155","3.053","179.779"
"3","GTLM","Antonio Garcia","31","1:43.359","1:03:50.539","Green","Track","3.254","8.541","12.095","3.819","0.522","13.552","21.258","14.212","17.174","5.605","3.327","157.393"
"24","GTLM","John Edwards","31","1:43.246","1:03:51.076","Green","Track","3.220","8.601","12.147","3.806","0.491","13.341","21.211","14.172","17.360","5.591","3.306","167.330"
"67","GTLM","Richard Westbrook","31","1:43.104","1:03:51.686","Green","Track","3.241","8.426","12.245","3.825","0.496","13.324","21.298","14.027","17.305","5.587","3.330","165.643"
"912","GTLM","Laurens Vanthoor","31","1:43.432","1:03:53.074","Green","Track","3.249","8.545","12.180","3.808","0.509","13.314","21.207","14.188","17.472","5.621","3.339","161.413"
"66","GTLM","Joey Hand","31","1:43.241","1:03:53.345","Green","Track","3.248","8.601","12.088","3.759","0.490","13.362","21.179","14.053","17.565","5.581","3.315","167.672"
"54","DPi","Romain Dumas","31","1:50.709","1:03:53.375","Green","Track","14.281","9.502","11.849","3.555","0.462","13.572","19.979","12.930","16.260","5.295","3.024","177.834"
"12","GTD","Frank Montecalvo","30","1:46.809","1:04:05.440","Green","Track","3.314","8.828","12.594","3.910","0.504","13.864","22.049","14.491","17.949","5.851","3.455","163.014"
"25","GTLM","Connor De Phillippi","31","1:56.315","1:04:05.386","Green","Pit","3.198","8.541","12.148","3.822","0.490","13.606","21.203","13.902","17.245","9.923","12.237","167.672"
"7","DPi","Ricky Taylor","33","1:32.300","1:04:08.499","Green","Track","2.970","7.588","10.944","3.446","0.458","11.508","19.131","12.595","15.791","4.900","2.969","179.387"
"8","GTD","Parker Chase","30","1:47.989","1:04:11.170","Green","Track","3.388","8.910","12.893","4.030","0.516","13.816","22.133","14.761","18.164","5.858","3.520","159.223"
"10","DPi","Renger Van Der Zande","33","1:33.190","1:04:11.614","Green","Track","2.915","7.634","11.380","3.490","0.449","11.985","19.150","12.723","15.511","4.964","2.989","182.982"
"73","GTD","Nicholas Boulle","29","1:48.780","1:04:22.017","Green","Track","3.367","8.907","12.625","3.953","0.509","14.359","22.607","14.666","18.014","6.241","3.532","161.413"
"9","GTD","Zacharie Robichon","30","1:46.165","1:04:22.953","Green","Track","3.334","8.690","12.516","3.923","0.509","13.861","21.760","14.462","17.722","5.921","3.467","161.413"
"5","DPi","Filipe Albuquerque","33","1:32.139","1:04:23.305","Green","Track","2.889","7.660","11.023","3.456","0.447","11.636","18.904","12.833","15.428","4.897","2.966","183.801"
