"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"54","DPi","Jonathan Bennett","6","1:19.302","59:48.382","Green","Track","3.870","6.729","4.095","8.508","6.905","1.773","0.476","7.051","0.000","0.000","0.000","4.363","171.887"
"31","DPi","Pipo Derani","8","1:14.430","1:00:14.321","Green","Track","3.703","0.000","0.000","0.000","0.000","0.000","0.000","6.201","13.286","15.068","5.532","4.106","0.000"
"77","DPi","Oliver Jarvis","7","1:16.117","1:00:28.133","Green","Track","3.717","0.000","0.000","0.000","0.000","1.786","0.482","6.973","14.415","0.000","0.000","80.242","169.747"
"38","LMP2","Kyle Masson","7","1:17.463","1:00:29.071","Green","Track","3.865","0.000","0.000","0.000","0.000","1.839","0.494","6.857","14.408","0.000","0.000","81.736","165.624"
"7","DPi","Helio Castroneves","8","1:12.326","1:00:29.222","Green","Track","3.671","0.000","0.000","0.000","0.000","0.000","0.476","6.321","13.286","0.000","0.000","0.000","171.887"
"55","DPi","Ryan Hunter-Reay","7","1:16.884","1:00:36.231","Green","Track","3.670","0.000","0.000","0.000","7.083","1.794","0.482","6.982","14.786","0.000","0.000","0.000","169.747"
"10","DPi","Renger Van Der Zande","8","1:12.555","1:00:37.320","Green","Track","3.782","0.000","0.000","0.000","6.923","0.000","0.488","6.118","13.217","0.000","0.000","0.000","167.660"
"6","DPi","Dane Cameron","8","1:12.387","1:00:41.099","Green","Track","0.000","0.000","0.000","7.766","6.777","1.761","0.473","6.105","0.000","0.000","0.000","76.454","172.977"
"84","DPi","Simon Trummer","8","1:14.841","1:00:45.077","Green","Track","0.000","0.000","0.000","7.787","6.939","1.824","0.490","6.230","0.000","0.000","0.000","0.000","166.976"
"52","LMP2","Eric Lux","7","1:26.585","1:00:46.929","Green","Track","4.100","0.000","0.000","0.000","8.168","0.000","0.507","7.751","0.000","0.000","0.000","0.000","161.377"
"50","DPi","Will Owen","8","1:13.928","1:00:50.246","Green","Track","0.000","0.000","3.901","7.869","6.952","1.816","0.487","6.180","0.000","0.000","0.000","0.000","168.004"
"85","DPi","Misha Goikhberg","8","1:13.917","1:00:56.290","Green","Track","3.775","6.109","3.887","8.155","7.052","1.839","0.494","6.350","0.000","0.000","0.000","0.000","165.624"
"5","DPi","Joao Barbosa","8","1:14.101","1:00:59.101","Green","Track","3.784","6.412","3.915","8.034","7.011","1.815","0.488","6.439","0.000","0.000","0.000","0.000","167.660"
"54","DPi","Jonathan Bennett","7","1:19.195","1:01:07.577","Green","Track","3.825","6.709","4.107","8.473","6.867","0.000","0.477","0.000","0.000","0.000","0.000","4.314","171.527"
"31","DPi","Pipo Derani","9","1:12.179","1:01:26.500","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","13.029","5.087","4.222","0.000"
"77","DPi","Oliver Jarvis","8","1:11.006","1:01:39.139","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","13.094","12.725","5.029","4.024","0.000"
"7","DPi","Helio Castroneves","9","1:14.683","1:01:43.905","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.522","7.120","14.251","13.534","5.075","4.100","156.740"
"38","LMP2","Kyle Masson","8","1:16.071","1:01:45.142","Green","Track","0.000","0.000","0.000","0.000","0.000","1.845","0.495","6.603","13.843","13.688","5.273","4.315","165.289"
"55","DPi","Ryan Hunter-Reay","8","1:12.409","1:01:48.640","Green","Track","0.000","0.000","0.000","0.000","6.738","1.777","0.478","6.324","13.387","13.164","5.050","4.131","171.168"
"10","DPi","Renger Van Der Zande","9","1:12.955","1:01:50.275","Green","Track","0.000","0.000","0.000","0.000","6.871","1.809","0.487","6.196","13.186","13.383","5.116","4.381","168.004"
"6","DPi","Dane Cameron","9","1:10.806","1:01:51.905","Green","Track","0.000","0.000","0.000","0.000","6.736","1.764","0.475","6.071","13.201","12.644","4.973","4.039","172.249"
"84","DPi","Simon Trummer","9","1:12.595","1:01:57.672","Green","Track","0.000","0.000","3.931","7.722","6.928","1.825","0.492","6.223","13.270","13.100","5.095","4.176","166.297"
