"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"5","DPi","Brendon Hartley","14","1:51.296","27:51.707","Green","Track","5.207","4.746","22.377","14.360","24.757","8.072","17.216","0.543","10.136","1.358","2.524","156.119","127.192"
"55","DPi","Harry Tincknell","7","1:47.770","27:53.436","Green","Track","5.194","4.837","21.950","13.761","23.996","7.898","16.375","0.485","9.515","1.308","2.451","174.789","132.054"
"67","GTLM","Richard Westbrook","12","1:57.982","27:55.122","Green","Track","5.655","5.762","23.779","14.758","26.092","8.751","18.021","0.522","10.527","1.430","2.685","162.400","120.788"
"52","LMP2","Anders Fjorback","12","2:09.725","27:55.721","Green","Pit","5.382","5.327","23.875","14.728","26.012","8.491","17.279","0.568","13.553","4.273","10.237","149.248","40.423"
"84","DPi","Stephen Simpson","11","2:01.130","27:58.678","Green","Pit","5.298","5.354","22.871","14.031","24.675","8.361","17.325","0.494","10.153","2.460","10.108","171.605","70.214"
"25","GTLM","Colton Herta","12","2:00.280","28:08.381","Green","Track","5.734","5.475","24.390","15.692","26.531","8.973","18.242","0.538","10.508","1.461","2.736","157.570","118.225"
"7","DPi","Alexander Rossi","10","1:52.204","28:13.044","Green","Track","5.192","4.767","23.925","13.962","25.062","8.154","17.279","0.492","9.601","1.308","2.462","172.302","132.054"
"9","GTD","Lars Kern","12","2:26.933","28:15.968","Green","Track","23.100","10.593","26.076","15.788","27.364","9.307","19.045","0.550","10.808","1.500","2.802","154.132","115.152"
"63","GTD","Toni Vilander","11","2:28.588","28:18.667","Green","Track","22.762","10.662","26.651","16.131","27.871","9.339","18.899","0.546","11.386","1.522","2.819","155.261","113.487"
"19","GTD","Alex Riberas","12","2:04.133","28:26.715","Green","Track","5.892","5.963","25.253","15.482","27.552","9.190","18.804","0.543","11.123","1.512","2.819","156.119","114.238"
"911","GTLM","Patrick Pilet","14","1:59.578","28:26.860","Green","Track","5.665","5.444","24.107","15.229","26.289","9.445","18.212","0.528","10.522","1.440","2.697","160.554","119.949"
"71","GTD","JC Perez","11","2:36.902","28:30.645","Green","Track","22.590","11.458","29.635","16.305","29.535","11.152","19.470","0.554","11.802","1.540","2.861","153.019","112.161"
"44","GTD","Spencer Pumpelly","12","2:13.355","28:32.008","Green","Pit","5.815","5.702","25.368","15.601","27.102","9.252","18.809","0.544","11.830","2.947","10.385","155.832","58.611"
"77","DPi","Timo Bernhard","14","1:48.008","28:49.478","Green","Track","5.126","4.682","22.015","13.889","23.797","7.916","16.948","0.488","9.442","1.287","2.418","173.715","134.209"
"73","GTD","Patrick Long","12","2:04.358","28:53.925","Green","Track","5.955","6.037","25.153","15.521","27.074","9.237","19.649","0.559","10.935","1.473","2.765","151.651","117.262"
"4","GTLM","Oliver Gavin","13","2:08.496","28:58.210","Green","Pit","5.660","5.709","24.213","14.945","26.333","8.908","18.168","0.530","10.900","2.980","10.150","159.949","57.962"
"31","DPi","Pipo Derani","12","8:17.862","29:08.308","Green","Track","380.815","9.253","27.270","15.234","26.157","8.227","16.770","0.496","9.853","1.312","2.475","170.913","131.652"
"38","LMP2","Andrew Evans","13","1:59.389","29:18.717","Green","Track","5.650","6.169","24.030","15.366","26.545","8.746","17.827","0.499","10.608","1.383","2.566","169.885","124.893"
"12","GTD","Aaron Telitz","12","4:35.731","29:20.001","Green","Track","152.496","9.788","25.780","15.694","27.773","9.284","19.052","0.545","11.028","1.498","2.793","155.546","115.305"
"50","DPi","Will Owen","12","1:51.959","29:21.173","Green","Track","5.397","5.158","22.954","14.273","24.877","8.083","16.821","0.495","10.080","1.331","2.490","171.258","129.773"
"11","GTD","Mirko Bortolotti","12","2:01.478","29:32.144","Green","Track","5.794","5.711","24.736","15.194","26.738","9.188","18.543","0.544","10.772","1.479","2.779","155.832","116.787"
"10","DPi","Matthieu Vaxiviere","14","1:49.365","29:35.006","Green","Track","5.203","4.764","22.629","14.066","24.184","7.964","16.575","0.490","9.710","1.315","2.465","173.006","131.352"
"86","GTD","Trent Hindman","13","2:02.529","29:37.292","Green","Track","5.871","5.790","24.930","15.447","27.019","9.126","18.615","0.542","10.884","1.504","2.801","156.407","114.845"
"5","DPi","Brendon Hartley","15","1:49.324","29:41.031","Green","Track","5.251","4.647","22.129","13.836","24.922","8.049","16.606","0.493","9.561","1.334","2.496","171.953","129.481"
"55","DPi","Harry Tincknell","8","1:50.774","29:44.210","Green","Track","5.174","4.676","21.905","13.814","24.388","7.969","17.893","0.648","10.592","1.289","2.426","130.822","134.001"
"912","GTLM","Laurens Vanthoor","13","3:40.713","29:46.429","Green","Track","100.305","9.399","25.947","15.430","26.909","8.991","18.277","0.533","10.777","1.441","2.704","159.048","119.866"
"67","GTLM","Richard Westbrook","13","1:57.274","29:52.396","Green","Track","5.623","5.383","23.799","14.860","25.871","8.713","17.944","0.524","10.461","1.422","2.674","161.780","121.468"
