"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"33","LMP3","Lance Willsey","7","2:03.481","15:29.177","Green","Track","6.004","5.724","25.327","15.584","27.223","9.275","18.657","0.553","10.791","1.511","2.832","153.296","114.313"
"43","LMP3","Stevan McAleer","6","2:02.747","15:29.642","Green","Track","0.000","0.000","25.950","0.000","0.000","8.887","18.294","0.531","10.900","1.468","2.745","159.647","117.662"
"74","LMP3","Wyatt Schwab","6","2:02.665","15:30.555","Green","Track","5.846","5.797","25.254","16.036","27.122","9.051","18.221","0.532","10.560","1.483","2.763","159.347","116.472"
"9","LMP3","Gerry Kraut","7","2:04.574","15:35.182","Green","Track","5.734","5.636","24.666","15.588","28.241","10.110","18.523","0.531","11.248","1.509","2.788","159.647","114.465"
"54","LMP3","David Murry","5","2:07.643","15:35.481","Green","Track","6.407","6.199","25.761","15.593","28.514","9.929","18.916","0.588","11.452","1.495","2.789","144.171","115.537"
"4","LMP3","Leo Lamelas","7","2:03.146","15:35.815","Green","Track","5.858","5.485","24.920","15.503","26.707","9.737","18.749","0.544","11.346","1.501","2.796","155.832","115.075"
"75","LMP3","Cameron Cassels","7","2:18.273","15:44.816","Green","Pit","5.948","6.002","26.060","16.125","29.337","9.728","18.712","0.550","12.298","2.947","10.566","154.132","58.611"
"25","LMP3","Ross Chouest","7","2:05.534","15:46.386","Green","Track","6.026","5.972","26.033","15.659","27.458","9.378","18.904","0.551","11.177","1.530","2.846","153.852","112.894"
"23","LMP3","Anthony Simone","6","2:02.228","15:47.623","Green","Track","5.834","5.553","24.795","15.918","27.102","8.949","18.685","0.532","10.643","1.475","2.742","159.347","117.103"
"10","LMP3","Joe Robillard","6","2:04.818","15:59.230","Green","Track","5.979","5.941","25.567","0.000","0.000","9.138","18.965","0.537","11.618","1.518","2.807","157.864","113.786"
"70","LMP3","Joel Janco","7","2:03.346","16:11.762","Green","Track","6.020","5.654","25.565","15.650","27.079","9.174","18.584","0.553","10.737","1.505","2.825","153.296","114.769"
"47","LMP3","Austin McCusker","6","1:58.715","16:18.941","Green","Track","5.776","5.338","24.533","15.041","26.201","8.878","17.953","0.534","10.277","1.452","2.732","158.750","118.958"
"11","LMP3","Nico Rondet","7","2:11.078","16:21.755","Green","Pit","5.959","5.822","24.895","15.421","26.812","9.043","18.296","0.544","11.438","2.721","10.127","155.832","63.479"
"64","LMP3","Alex Barron","8","2:13.248","16:49.672","Green","Pit","5.960","5.715","25.025","15.462","27.385","9.151","18.738","0.554","12.392","2.793","10.073","153.019","61.843"
"12","LMP3","Tim Moser","7","2:03.945","17:00.083","Green","Track","5.990","5.825","25.112","15.633","27.295","9.084","19.104","0.551","11.036","1.501","2.814","153.852","115.075"
