"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"48","GTD","Ryan Hardwick","4","1:30.649","8:51.206","Green","Track","4.500","7.991","4.483","9.817","8.154","2.041","0.546","7.850","17.193","16.863","6.308","4.903","149.850"
"63","GTD","Toni Vilander","5","1:29.515","8:51.391","Green","Track","4.404","7.866","4.516","9.477","7.998","2.022","0.545","7.685","16.973","17.009","6.233","4.787","150.125"
"52","LMP2","Matthew McMurry","4","1:31.898","8:55.509","Green","Track","4.683","8.380","5.012","10.554","8.058","1.934","0.517","8.231","16.928","16.250","6.502","4.849","158.256"
"44","GTD","Andy Lally","4","2:10.882","9:10.966","Green","Track","38.185","11.295","5.355","10.672","8.336","2.078","0.557","8.652","17.195","17.208","6.419","4.930","146.891"
"77","DPi","Oliver Jarvis","3","2:03.133","9:12.624","Green","Track","14.557","13.828","7.563","13.184","8.502","2.204","0.717","10.430","19.511","19.815","7.446","5.376","114.112"
"9","GTD","Zacharie Robichon","4","1:30.043","9:14.262","Green","Track","4.573","8.189","4.668","9.962","8.349","2.075","0.558","7.634","16.629","16.434","6.111","4.861","146.628"
"911","GTLM","Nick Tandy","5","2:19.058","9:16.584","Green","Track","39.116","12.464","5.865","12.032","8.321","2.088","0.648","9.474","18.520","18.452","6.887","5.191","126.263"
"5","DPi","Filipe Albuquerque","4","2:11.507","9:16.835","Green","Track","38.653","13.390","5.975","10.776","7.784","2.092","0.589","8.940","16.694","16.013","6.012","4.589","138.910"
"33","GTD","Jeroen Bleekemolen","4","1:31.555","9:24.931","Green","Track","4.686","8.559","4.815","9.999","8.190","2.059","0.553","7.695","16.588","17.050","6.582","4.779","147.953"
"38","LMP2","Cameron Cassels","5","1:31.992","9:26.347","Green","Track","4.592","8.107","4.897","10.031","7.859","2.043","0.607","8.698","17.048","16.537","6.414","5.159","134.791"
"96","GTD","Bill Auberlen","6","1:28.715","9:26.505","Green","Track","4.182","7.691","4.493","9.347","7.781","1.961","0.525","7.606","17.047","16.667","6.402","5.013","155.844"
"12","GTD","Townsend Bell","5","2:22.719","9:27.455","Green","Track","51.955","11.083","5.174","10.299","8.452","2.095","0.560","8.439","17.064","16.567","6.082","4.949","146.104"
"7","DPi","Ricky Taylor","4","1:38.531","9:31.679","Green","Pit","4.672","8.260","4.900","9.912","7.339","1.838","0.530","8.466","17.100","16.799","7.800","10.915","154.374"
"73","GTD","Patrick Long","4","1:30.169","9:35.218","Green","Track","4.562","8.366","4.717","9.847","8.221","2.068","0.556","7.763","16.563","16.633","6.047","4.826","147.155"
"912","GTLM","Laurens Vanthoor","5","2:05.856","9:39.078","Green","Track","34.654","11.117","5.313","10.539","8.128","2.032","0.553","8.756","17.088","16.712","6.203","4.761","147.953"
"10","DPi","Jordan Taylor","4","1:30.081","9:39.285","Green","Track","4.409","7.464","4.787","9.747","7.538","1.866","0.539","9.020","17.202","16.616","6.364","4.529","151.796"
"86","GTD","Mario Farnbacher","6","1:27.956","9:39.855","Green","Track","4.432","7.511","4.355","9.036","7.974","2.019","0.542","7.539","16.752","16.562","6.455","4.779","150.956"
"24","GTLM","John Edwards","6","1:24.145","9:47.277","Green","Track","4.222","7.469","4.473","8.846","7.727","1.964","0.526","7.602","15.561","15.440","5.760","4.555","155.548"
"50","DPi","Kyle Kaiser","6","1:23.160","9:47.849","Green","Track","4.084","7.303","4.267","8.967","7.206","1.826","0.492","7.499","15.646","15.600","5.908","4.362","166.297"
"67","GTLM","Richard Westbrook","5","1:26.485","9:50.414","Green","Track","4.347","7.782","4.665","9.297","7.873","1.998","0.535","7.610","16.044","15.829","5.813","4.692","152.931"
"3","GTLM","Antonio Garcia","6","1:32.668","9:51.226","Green","Pit","4.306","7.299","4.525","9.207","7.698","1.979","0.531","7.756","15.781","15.886","7.011","10.689","154.083"
