"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"39","GS","Jeff Westphal","87","2:51.707","3:19:30.253","Green","Track","50.590","10.707","14.845","4.426","0.563","16.185","24.559","16.620","21.550","7.605","4.057","145.931"
"7","GS","Trent Hindman","87","2:51.887","3:19:33.003","Green","Track","51.279","10.513","14.551","4.299","0.546","15.838","24.156","16.780","22.199","7.667","4.059","150.475"
"59","GS","Kenny Wilden","87","2:58.091","3:19:36.318","Green","Pit","3.616","9.796","13.822","4.237","0.541","15.475","24.113","16.003","20.277","10.895","59.316","151.865"
"97","GS","Brandon Kidd","87","2:05.610","3:19:41.572","Green","Track","3.585","9.795","13.733","4.161","0.566","16.249","24.975","17.415","23.044","8.071","4.016","145.157"
"60","GS","Kyle Marcelli","87","2:18.842","3:19:41.681","Green","Track","14.572","10.522","14.696","4.356","0.556","16.196","25.062","17.356","23.166","8.186","4.174","147.768"
"57","GS","Christian Hohenadel","87","2:55.214","3:19:42.019","Green","Track","54.610","9.460","13.952","4.213","0.538","15.253","24.678","17.461","23.083","7.955","4.011","152.712"
"98","TCR","Mark Wilkins","87","2:09.629","3:19:43.507","Green","Track","3.804","9.963","14.429","4.491","0.575","16.238","26.451","17.876","23.731","7.947","4.124","142.885"
"73","TCR","Mat Pombo","87","2:07.584","3:19:48.025","Green","Track","3.766","9.861","14.444","4.477","0.574","15.956","25.243","18.429","23.095","7.652","4.087","143.134"
"61","TCR","Jon Morley","86","2:08.516","3:19:55.186","Green","Track","3.882","9.996","14.781","4.497","0.598","15.995","25.671","17.948","23.143","7.792","4.213","137.390"
"88","GS","Greg Liefooghe","86","2:03.643","3:20:05.052","Green","Track","3.586","9.642","13.541","4.143","0.532","16.396","24.780","17.172","22.379","7.520","3.952","154.434"
"96","GS","Bill Auberlen","88","2:04.824","3:20:08.920","Green","Track","3.532","9.642","13.487","4.111","0.526","15.951","25.336","17.682","22.793","7.779","3.985","156.196"
"2","GS","Tyler Cooke","87","2:23.817","3:20:09.750","Green","Track","14.547","10.889","15.601","4.520","0.579","17.053","26.124","18.459","23.981","7.945","4.119","141.898"
"71","GS","Robin Liddell","88","2:02.921","3:20:14.032","Green","Track","3.632","9.720","13.842","4.262","0.546","15.029","25.087","17.016","22.260","7.566","3.961","150.475"
"69","GS","Corey Fergus","88","2:04.487","3:20:26.943","Green","Track","3.623","9.789","13.434","4.094","0.526","16.136","25.978","17.145","22.284","7.527","3.951","156.196"
"11","GS","Spencer Pumpelly","87","2:07.866","3:20:28.851","Green","Track","3.642","9.952","13.864","4.216","0.541","16.235","27.435","17.658","22.541","7.739","4.043","151.865"
"56","GS","Eric Foss","88","2:06.340","3:20:31.858","Green","Track","3.645","9.775","13.636","4.182","0.535","16.066","26.571","17.480","22.723","7.741","3.986","153.568"
"5","TCR","Tim Lewis Jr","86","2:12.343","3:20:34.917","Green","Track","4.036","10.514","14.763","4.484","0.597","17.474","27.416","18.030","23.226","7.738","4.065","137.620"
"84","TCR","Todd Lamb","76","20:48.508","3:20:51.786","Green","Pit","135.072","15.551","24.454","7.037","0.874","24.553","0.000","0.000","0.000","14.689","998.673","94.004"
"65","GS","Justin Piscitell","88","2:14.562","3:20:52.320","Green","Track","3.961","10.646","14.617","4.354","0.563","18.230","29.144","18.021","22.949","8.014","4.063","145.931"
"75","GS","Paul Holton","84","2:16.190","3:20:59.971","Green","Track","4.111","10.768","14.969","4.338","0.607","19.170","29.430","17.711","23.164","7.895","4.027","135.353"
"35","GS","Dylan Murry","88","2:25.015","3:21:09.132","Green","Track","14.645","10.951","15.343","4.395","0.580","18.919","27.893","17.616","22.822","7.851","4.000","141.654"
"82","GS","Devin Jones","88","2:30.939","3:21:22.164","Green","Track","14.804","11.790","15.882","4.450","0.626","20.127","29.447","18.219","23.559","8.000","4.035","131.245"
"12","TCR","Russell McDonough","87","2:20.187","3:21:23.155","Green","Track","4.168","11.374","15.550","4.600","0.692","19.914","29.211","18.331","24.255","7.964","4.128","118.727"
"21","TCR","Mason Filippi","74","2:19.236","3:21:26.016","Green","Track","4.465","11.541","14.905","4.620","0.716","19.794","28.895","18.273","23.630","8.248","4.149","114.747"
"4","GS","Guy Cosmo","88","3:14.923","3:21:32.167","Green","Pit","52.941","10.466","14.904","4.354","0.617","19.279","27.906","17.529","22.926","11.928","12.073","133.159"
"40","GS","Jade Buford","88","2:11.894","3:21:38.478","Green","Track","3.845","10.886","14.553","4.334","0.592","18.749","27.386","17.540","22.297","7.711","4.001","138.782"
"37","TCR","Tom O'Gorman","86","2:14.872","3:21:40.751","Green","Track","4.084","10.848","14.750","4.971","0.686","19.600","28.353","17.528","22.324","7.649","4.079","119.765"
"39","GS","Jeff Westphal","88","2:11.875","3:21:42.128","Green","Track","3.920","11.114","14.198","4.354","0.589","18.782","27.387","17.247","22.474","7.737","4.073","139.489"
"7","GS","Trent Hindman","88","2:11.593","3:21:44.596","Green","Track","3.899","10.791","14.200","4.284","0.601","18.790","27.340","17.679","22.346","7.634","4.029","136.704"
