"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"52","TCR","Colin Mullan","4","1:38.289","7:53.715","Green","Track","5.135","8.608","5.168","9.801","8.662","2.244","0.601","8.566","17.947","18.836","7.503","5.218","136.137"
"5","TCR","Roy Block","4","1:48.025","7:55.134","Green","Track","5.940","10.741","5.514","11.465","8.774","2.230","0.597","9.296","19.590","19.219","8.907","5.752","137.049"
"3","TCR","Mark Kvamme","4","1:41.239","7:56.639","Green","Track","5.518","9.525","5.397","10.770","8.768","2.246","0.603","8.830","18.791","18.416","6.806","5.569","135.685"
"84","TCR","Todd Lamb","4","1:49.002","7:57.521","Green","Pit","5.512","9.136","5.320","10.064","8.965","2.250","0.603","8.671","19.416","19.811","8.114","11.140","135.685"
"59","GS","Rod Randall","4","1:35.225","7:59.253","Green","Track","4.947","8.416","4.912","10.004","8.900","2.198","0.586","8.781","17.137","17.737","6.488","5.119","139.621"
"13","GS","Orey Fidani","4","1:53.502","8:00.637","Green","Pit","5.106","8.651","5.377","11.927","9.430","2.436","0.644","9.029","19.187","19.880","10.569","11.266","127.047"
"37","TCR","Shelby Blackstock","4","1:46.576","8:03.646","Green","Pit","4.998","8.560","5.484","10.790","8.818","2.248","0.603","8.998","18.694","18.623","7.898","10.862","135.685"
"65","GS","Brent Mosing","4","1:50.631","8:04.632","Green","Track","13.715","11.221","5.627","10.567","8.778","2.179","0.581","8.457","18.149","19.112","6.627","5.618","140.823"
"46","GS","Hugh Plumb","4","2:59.851","8:05.915","Green","Track","78.411","13.087","6.108","11.185","9.927","2.442","0.649","9.301","18.565","18.390","6.575","5.211","126.068"
"31","GS","Jeff Courtney","4","1:35.224","8:06.811","Green","Track","4.922","8.587","5.002","9.784","8.555","2.157","0.576","7.999","17.648","17.972","6.745","5.277","142.045"
"7","GS","Alan Brynjolfsson","5","1:31.266","8:07.452","Green","Track","4.770","8.184","4.766","9.487","8.541","2.148","0.572","7.822","16.615","16.877","6.331","5.153","143.039"
"73","TCR","Mat Pombo","4","1:57.081","8:08.552","Green","Track","4.929","8.643","5.091","9.644","8.700","2.238","0.607","9.764","23.629","27.981","10.442","5.413","134.791"
"96","GS","Robby Foley","4","2:02.008","8:22.255","Green","Track","20.230","14.388","7.027","10.159","9.145","2.407","0.631","9.136","18.247","19.325","6.238","5.075","129.664"
"35","GS","James Cox","4","1:32.605","8:23.200","Green","Track","4.824","8.910","4.940","0.000","0.000","2.130","0.568","8.197","16.813","17.112","6.084","5.151","144.046"
"54","TCR","Michael Johnson","4","1:38.775","8:28.816","Green","Track","4.919","9.058","5.875","10.201","8.665","2.218","0.597","8.652","17.907","18.627","6.844","5.212","137.049"
"81","TCR","Marco Cirone","5","1:34.306","8:30.949","Green","Track","5.067","8.510","5.034","9.608","8.649","2.238","0.600","8.224","17.373","17.552","6.254","5.197","136.364"
"56","GS","Jeff Mosing","5","1:28.930","8:34.409","Green","Track","4.716","7.984","4.859","9.078","8.338","2.130","0.570","7.592","16.182","16.459","5.924","5.098","143.541"
"39","GS","Tyler McQuarrie","5","1:29.464","8:41.146","Green","Track","4.676","8.233","4.836","9.230","8.284","2.132","0.571","7.566","16.346","16.581","5.955","5.054","143.289"
"82","GS","James Clay","5","1:29.546","8:42.595","Green","Track","4.702","8.205","4.825","9.004","8.222","2.108","0.564","7.833","16.430","16.633","5.999","5.021","145.068"
