"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"25","GTLM","Connor De Phillippi","15","1:38.641","43:26.876","Green","Track","4.832","8.621","4.875","10.488","7.875","2.000","0.535","8.413","19.122","18.899","7.450","5.531","152.931"
"85","DPi","Misha Goikhberg","17","1:36.050","43:29.969","Green","Track","4.700","8.591","4.804","9.998","7.199","1.851","0.510","8.711","18.390","18.618","6.993","5.685","160.428"
"55","DPi","Ryan Hunter-Reay","15","1:33.472","43:30.717","Green","Track","4.370","8.004","4.486","10.013","7.163","1.811","0.488","8.147","18.188","17.993","7.450","5.359","167.660"
"77","DPi","Tristan Nunez","17","1:33.251","43:31.154","Green","Track","4.323","7.949","4.769","10.178","7.153","1.826","0.519","8.266","17.621","18.043","7.307","5.297","157.646"
"24","GTLM","Jesse Krohn","15","1:37.938","43:33.858","Green","Track","4.738","8.505","5.030","10.645","7.777","1.972","0.542","8.535","18.780","18.598","7.314","5.502","150.956"
"66","GTLM","Sebastien Bourdais","15","1:37.340","43:49.169","Green","Track","4.682","8.407","4.905","10.268","7.783","1.988","0.533","8.340","18.746","18.815","7.364","5.509","153.505"
"74","GTD","Gar Robinson V","16","1:43.423","44:04.571","Green","Track","5.142","9.364","5.094","10.744","8.098","2.067","0.558","9.008","19.544","20.390","7.711","5.703","146.628"
"86","GTD","Mario Farnbacher","17","1:41.617","44:04.857","Green","Track","5.167","9.680","5.105","10.556","7.835","2.002","0.540","8.901","19.017","19.543","7.629","5.642","151.515"
"84","DPi","Simon Trummer","15","1:38.028","44:10.056","Green","Track","4.792","8.381","5.023","10.027","7.167","1.868","0.577","8.867","19.729","18.956","7.275","5.366","141.799"
"54","DPi","Jonathan Bennett","16","1:52.783","44:10.267","Green","Pit","5.023","9.290","5.191","10.700","7.218","1.879","0.602","9.553","20.473","22.303","8.928","11.623","135.911"
