"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"39","GS","Tyler McQuarrie","1","22:31.150","22:31.150","Green","Track","0.000","14.571","7.108","0.000","0.000","3.708","0.976","13.786","26.148","23.650","9.009","7.574","83.830"
"33","GS","Russell Ward","1","22:31.365","22:31.365","Green","Track","0.000","12.850","5.788","21.633","15.237","3.631","0.995","12.508","24.819","24.054","8.724","7.147","82.229"
"96","GS","Robby Foley","1","22:32.433","22:32.433","Green","Track","18.051","16.055","6.776","13.251","10.317","3.568","0.941","11.811","24.585","23.760","8.669","6.929","86.948"
"35","GS","James Cox","1","22:32.431","22:32.431","Green","Track","0.000","14.111","7.626","0.000","0.000","3.588","1.037","13.403","24.542","23.853","8.685","7.159","78.899"
"97","GS","Rob Ecklin Jr.","1","22:33.936","22:33.936","Green","Track","0.000","16.869","8.208","13.958","10.583","3.523","1.079","13.359","23.311","23.174","8.508","6.985","75.828"
"8","GS","Gunnar Jeannette","1","22:35.455","22:35.455","Green","Track","16.362","14.093","6.625","13.705","10.419","3.523","1.010","12.666","24.027","23.252","8.193","6.865","81.008"
"40","GS","James Pesek","1","22:40.290","22:40.290","Green","Track","0.000","14.234","6.623","13.850","10.111","2.870","0.839","12.241","24.847","23.368","8.429","7.675","97.519"
"31","GS","Jeff Courtney","1","22:40.810","22:40.810","Green","Track","0.000","14.370","7.801","13.694","10.566","2.637","0.711","10.513","22.730","23.085","8.423","7.439","115.075"
"13","GS","Orey Fidani","1","22:44.667","22:44.667","Green","Track","0.000","13.423","8.764","15.550","14.427","4.390","1.297","12.933","30.442","28.641","8.689","6.919","63.083"
"56","GS","Jeff Mosing","1","22:59.458","22:59.458","Green","Track","0.000","12.418","6.283","12.440","10.174","3.302","0.935","12.221","22.100","22.674","8.676","6.858","87.506"
"57","GS","Bryce Ward","1","23:07.185","23:07.185","Green","Pit","0.000","12.414","6.193","48.969","13.926","3.226","0.838","11.568","24.920","26.420","10.416","13.343","97.635"
"65","GS","Brent Mosing","1","23:13.388","23:13.388","Green","Track","0.000","12.818","6.607","13.244","10.667","3.429","1.067","12.396","25.024","27.479","9.354","7.737","76.681"
"71","GS","Frank DePew","1","23:20.708","23:20.708","Green","Pit","14.287","14.116","7.206","13.879","11.223","2.985","0.881","11.723","25.834","27.333","12.330","13.256","92.870"
"88","GS","Henry Schmitt","1","23:35.908","23:35.908","Green","Pit","0.000","13.480","6.370","16.228","20.794","5.112","1.376","16.882","38.128","45.711","16.901","21.880","59.461"
"82","GS","James Clay","2","1:53.692","23:57.901","Green","Track","5.857","10.920","5.523","11.993","9.094","2.307","0.620","9.671","21.476","21.642","8.191","6.398","131.965"
"60","GS","Nate Stacy","1","23:58.392","23:58.392","Green","Track","13.884","12.037","6.328","13.809","9.629","2.512","0.739","12.105","23.918","24.430","8.788","6.711","110.715"
"2","GS","Kenton Koch","2","1:45.382","24:05.709","Green","Track","5.268","9.214","5.292","0.000","0.000","2.204","0.596","9.694","20.065","19.596","7.521","5.842","137.279"
"75","GS","Paul Holton","2","1:46.851","24:07.756","Green","Track","5.370","9.886","5.637","11.488","8.616","2.177","0.592","9.452","20.619","19.690","7.540","5.784","138.206"
"69","GS","Jesse Lazare","2","1:47.279","24:18.071","Green","Track","5.566","9.715","5.431","11.193","8.733","2.213","0.590","9.448","20.531","20.476","7.406","5.977","138.675"
"46","GS","Owen Trinkler","2","2:08.315","24:21.200","Green","Track","6.189","11.913","6.170","14.266","9.575","2.344","0.656","12.017","25.220","23.900","8.784","7.281","124.723"
"7","GS","Alan Brynjolfsson","2","1:52.619","24:22.804","Green","Track","5.590","9.846","5.298","14.399","8.769","2.212","0.621","10.462","21.539","20.100","7.670","6.113","131.752"
"96","GS","Robby Foley","2","1:52.607","24:25.040","Green","Track","5.875","10.585","5.680","12.172","8.903","2.202","0.634","10.538","21.028","21.204","7.767","6.019","129.051"
"33","GS","Russell Ward","2","1:55.497","24:26.862","Green","Track","5.751","10.340","5.895","12.702","9.053","2.203","0.615","10.460","21.462","22.896","8.059","6.061","133.038"
"35","GS","James Cox","2","1:59.883","24:32.314","Green","Track","6.384","10.935","6.661","0.000","0.000","2.374","0.687","10.518","22.479","21.989","8.259","6.434","119.095"
"8","GS","Rodrigo Sales","2","1:57.215","24:32.670","Green","Track","5.571","10.523","6.112","12.904","9.441","2.448","0.683","10.739","22.308","21.812","8.174","6.500","119.792"
"97","GS","Rob Ecklin Jr.","2","1:59.514","24:33.450","Green","Track","5.759","10.756","6.555","13.437","9.536","2.507","0.686","11.269","22.584","21.554","8.234","6.637","119.268"
"39","GS","Tyler McQuarrie","2","2:06.047","24:37.197","Green","Track","6.321","11.574","6.848","0.000","0.000","2.463","0.741","11.473","24.629","23.055","8.685","6.957","110.416"
"31","GS","Jeff Courtney","2","1:59.165","24:39.975","Green","Track","6.139","11.194","5.946","12.334","9.466","2.430","0.639","10.877","22.934","22.217","8.172","6.817","128.041"
"40","GS","James Pesek","2","2:00.856","24:41.146","Green","Track","6.127","10.659","5.782","13.109","9.576","2.427","0.662","10.717","23.784","22.819","8.360","6.834","123.592"
"13","GS","Orey Fidani","2","2:01.942","24:46.609","Green","Track","6.072","11.104","9.000","13.383","12.334","2.455","0.641","9.998","21.864","20.885","7.848","6.358","127.641"
"59","GS","Rod Randall","1","24:47.051","24:47.051","Green","Track","13.901","14.923","6.907","13.407","10.339","2.666","0.716","11.099","23.354","22.942","8.105","7.371","114.271"
"56","GS","Jeff Mosing","2","1:49.438","24:48.896","Green","Track","5.736","9.809","5.462","11.440","8.877","2.238","0.600","9.979","20.779","20.795","7.537","6.186","136.364"
"65","GS","Brent Mosing","2","2:03.658","25:17.046","Green","Track","6.251","10.961","6.052","13.323","9.630","2.604","0.706","11.861","23.863","23.024","8.288","7.095","115.890"
"71","GS","Frank DePew","2","2:24.228","25:44.936","Green","Track","14.011","13.931","6.481","14.601","12.241","3.036","0.797","11.191","26.758","25.146","8.496","7.539","102.658"
"82","GS","James Clay","3","1:48.272","25:46.173","Green","Track","5.483","9.991","5.372","11.231","8.790","2.196","0.593","9.285","20.403","20.822","7.936","6.170","137.973"
"60","GS","Nate Stacy","2","1:52.549","25:50.941","Green","Track","5.801","10.132","5.842","11.546","8.943","2.224","0.613","10.875","21.620","20.639","7.986","6.328","133.472"
"2","GS","Kenton Koch","3","1:45.632","25:51.341","Green","Track","5.170","9.100","5.127","0.000","0.000","2.172","0.582","9.383","19.903","20.239","7.776","6.581","140.581"
"75","GS","Paul Holton","3","1:45.742","25:53.498","Green","Track","5.347","9.335","5.375","10.979","8.828","2.205","0.587","9.242","20.475","19.871","7.630","5.868","139.384"
"69","GS","Jesse Lazare","3","1:45.260","26:03.331","Green","Track","5.253","9.186","5.239","11.084","8.901","2.223","0.593","9.222","20.365","19.497","7.601","6.096","137.973"
"7","GS","Alan Brynjolfsson","3","1:49.001","26:11.805","Green","Track","5.361","10.568","5.566","11.509","8.664","2.184","0.584","9.825","20.585","20.305","7.619","6.231","140.100"
"96","GS","Robby Foley","3","1:49.081","26:14.121","Green","Track","5.461","9.724","5.738","12.151","8.808","2.205","0.595","10.062","20.422","20.421","7.557","5.937","137.510"
"33","GS","Russell Ward","3","1:48.348","26:15.210","Green","Track","5.468","9.831","5.762","11.583","8.704","2.179","0.591","9.758","20.357","20.467","7.778","5.870","138.440"
