"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPS"
"55","DPi","Jonathan Bomarito","4","1:11.884","25:39.513","Green","Track","0.563","6.335","2.713","3.895","10.344","7.183","5.288","3.912","10.560","14.657","1.603","4.831","146.536"
"77","DPi","Tristan Nunez","4","1:12.553","25:44.340","Green","Track","0.565","6.368","2.714","3.862","10.558","7.105","5.298","3.965","10.631","14.946","1.651","4.890","146.018"
"6","DPi","Juan Pablo Montoya","4","1:15.494","25:58.785","Green","Track","0.569","6.379","2.521","4.402","11.917","7.830","5.442","3.998","10.918","15.012","1.616","4.890","144.991"
"85","DPi","Misha Goikhberg","4","1:13.372","26:01.238","Green","Track","0.584","6.535","2.690","3.910","10.555","7.323","5.310","3.941","10.841","15.117","1.597","4.969","141.267"
"7","DPi","Helio Castroneves","3","1:11.562","26:08.129","Green","Track","0.564","6.347","2.582","3.766","10.310","7.082","5.213","3.990","10.561","14.692","1.599","4.856","146.277"
"50","DPi","Kyle Kaiser","1","26:19.006","26:19.006","Green","Track","0.000","0.000","0.000","0.000","11.958","7.952","6.325","4.283","11.453","17.822","1.610","4.986","0.000"
"54","DPi","Jonathan Bennett","4","1:14.154","26:28.477","Green","Track","0.565","6.298","2.761","3.958","10.758","7.492","5.472","4.073","10.815","15.561","1.555","4.846","146.018"
"10","DPi","Jordan Taylor","5","1:12.686","26:33.586","Green","Track","0.578","6.488","2.578","3.863","10.351","7.230","5.367","3.991","10.826","14.923","1.568","4.923","142.734"
"31","DPi","Felipe Nasr","5","1:11.725","26:35.615","Green","Track","0.580","6.463","2.653","3.736","10.224","7.212","5.177","3.952","10.649","14.595","1.564","4.920","142.241"
"5","DPi","Joao Barbosa","5","1:14.652","26:48.184","Green","Track","0.581","6.505","2.716","3.757","10.226","7.202","5.516","4.297","11.258","16.085","1.568","4.941","141.997"
"84","DPi","Simon Trummer","5","1:12.904","26:48.938","Green","Track","0.584","6.552","2.712","3.829","10.318","7.351","5.318","4.008","10.796","14.913","1.577","4.946","141.267"
"55","DPi","Jonathan Bomarito","5","1:14.198","26:53.711","Green","Track","0.562","6.323","2.670","3.878","10.233","7.127","5.231","3.951","10.562","17.184","1.623","4.854","146.797"
"77","DPi","Tristan Nunez","5","1:12.423","26:56.763","Green","Track","0.568","6.382","2.628","3.855","10.439","7.176","5.271","4.153","10.644","14.833","1.613","4.861","145.246"
"6","DPi","Juan Pablo Montoya","5","1:11.847","27:10.632","Green","Track","0.566","6.354","2.552","3.789","10.152","7.229","5.083","4.189","10.627","14.767","1.639","4.900","145.760"
"85","DPi","Misha Goikhberg","5","1:13.266","27:14.504","Green","Track","0.584","6.538","2.598","4.097","10.462","7.236","5.338","4.093","10.715","15.036","1.596","4.973","141.267"
"7","DPi","Helio Castroneves","4","1:11.599","27:19.728","Green","Track","0.563","6.336","2.619","3.734","10.281","7.113","5.204","3.977","10.518","14.729","1.634","4.891","146.536"
"50","DPi","Kyle Kaiser","2","1:15.713","27:34.719","Green","Track","0.584","6.545","2.933","4.161","10.947","7.415","5.704","4.108","11.103","15.695","1.572","4.946","141.267"
"54","DPi","Jonathan Bennett","5","1:13.716","27:42.193","Green","Track","0.563","6.294","2.755","3.991","10.695","7.355","5.358","4.031","10.797","15.448","1.569","4.860","146.536"
"10","DPi","Jordan Taylor","6","1:15.560","27:49.146","Green","Track","0.580","6.490","2.569","3.809","10.282","7.254","5.338","4.065","10.875","17.798","1.565","4.935","142.241"
"31","DPi","Felipe Nasr","6","1:20.866","27:56.481","Green","Track","0.579","6.641","3.226","4.361","11.766","7.887","5.613","4.533","12.220","17.553","1.567","4.920","142.487"
"5","DPi","Joao Barbosa","6","1:13.435","28:01.619","Green","Track","0.584","6.516","2.720","4.016","10.320","7.419","5.423","3.958","10.859","15.066","1.596","4.958","141.267"
"84","DPi","Simon Trummer","6","1:16.463","28:05.401","Green","Track","0.584","6.526","2.730","3.946","10.428","7.271","6.160","4.435","11.585","16.390","1.513","4.895","141.267"
"55","DPi","Jonathan Bomarito","6","1:14.911","28:08.622","Green","Track","0.566","6.351","2.647","3.961","10.374","7.179","5.243","3.866","10.767","17.542","1.589","4.826","145.760"
"77","DPi","Tristan Nunez","6","1:12.413","28:09.176","Green","Track","0.567","6.377","2.633","3.848","10.388","7.166","5.286","3.906","10.706","15.091","1.604","4.841","145.503"
"85","DPi","Misha Goikhberg","6","1:12.787","28:27.291","Green","Track","0.585","6.543","2.569","3.914","10.399","7.173","5.298","3.968","10.756","15.059","1.574","4.949","141.026"
"7","DPi","Helio Castroneves","5","1:11.332","28:31.060","Green","Track","0.566","6.361","2.543","3.756","10.240","7.105","5.117","3.917","10.538","14.767","1.577","4.845","145.760"
"50","DPi","Kyle Kaiser","3","1:13.233","28:47.952","Green","Track","0.580","6.518","2.689","3.980","10.365","7.275","5.373","3.939","10.807","15.182","1.574","4.951","142.241"
"6","DPi","Juan Pablo Montoya","6","1:40.471","28:51.103","Green","Pit","0.568","6.374","2.608","3.755","10.338","7.200","5.026","4.889","16.214","23.807","4.744","14.948","145.246"
"54","DPi","Jonathan Bennett","6","1:13.389","28:55.582","Green","Track","0.565","6.278","2.749","4.005","10.529","7.443","5.379","4.017","10.695","15.323","1.562","4.844","146.018"
"10","DPi","Jordan Taylor","7","1:12.746","29:01.892","Green","Track","0.580","6.487","2.577","3.835","10.275","7.217","5.357","3.957","10.922","15.043","1.567","4.929","142.241"
"31","DPi","Felipe Nasr","7","1:11.550","29:08.031","Green","Track","0.578","6.456","2.628","3.687","10.160","7.218","5.171","3.945","10.599","14.625","1.565","4.918","142.734"
"5","DPi","Joao Barbosa","7","1:12.292","29:13.911","Green","Track","0.582","6.500","2.654","3.871","10.170","7.193","5.341","3.905","10.713","14.814","1.589","4.960","141.753"
"84","DPi","Simon Trummer","7","1:12.580","29:17.981","Green","Track","0.580","6.510","2.703","3.771","10.388","7.171","5.205","4.022","10.745","14.951","1.584","4.950","142.241"
"77","DPi","Tristan Nunez","7","1:20.488","29:29.664","Green","Track","0.576","8.114","3.744","4.501","11.670","7.741","6.467","4.051","11.230","15.935","1.620","4.839","143.229"
"85","DPi","Misha Goikhberg","7","1:13.335","29:40.626","Green","Track","0.582","6.525","2.704","4.007","10.343","7.131","5.632","3.882","10.807","15.170","1.590","4.962","141.753"
"50","DPi","Kyle Kaiser","4","1:13.031","30:00.983","Green","Track","0.582","6.521","2.655","3.888","10.222","7.280","5.336","3.992","10.751","15.256","1.592","4.956","141.753"
"7","DPi","Helio Castroneves","6","1:34.893","30:05.953","Green","Pit","0.564","6.334","2.548","3.779","10.319","7.476","8.731","5.933","13.069","17.461","3.869","14.810","146.277"
"54","DPi","Jonathan Bennett","7","1:13.767","30:09.349","Green","Track","0.565","6.285","2.737","3.900","10.577","7.449","5.375","4.187","10.721","15.552","1.572","4.847","146.018"
"10","DPi","Jordan Taylor","8","1:12.492","30:14.384","Green","Track","0.580","6.503","2.613","3.791","10.246","7.191","5.336","3.948","10.805","14.979","1.570","4.930","142.241"
"31","DPi","Felipe Nasr","8","1:15.337","30:23.368","Green","Track","0.579","6.468","2.528","3.838","10.181","7.229","5.203","3.953","12.630","16.240","1.570","4.918","142.487"
"5","DPi","Joao Barbosa","8","1:12.316","30:26.227","Green","Track","0.583","6.502","2.670","3.766","10.191","7.205","5.274","3.875","10.741","14.981","1.580","4.948","141.509"
