"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPS"
"911","GTLM","Patrick Pilet","11","1:34.193","18:45.357","Green","Pit","0.625","6.930","3.110","4.306","11.492","8.036","6.573","4.278","12.186","17.732","3.808","15.117","132.000"
"24","GTLM","Jesse Krohn","8","1:22.051","19:00.064","Green","Track","0.637","7.045","3.312","4.442","11.573","8.117","6.166","4.383","12.109","17.059","1.730","5.478","129.513"
"85","DPi","Misha Goikhberg","8","1:17.336","19:09.518","Green","Track","0.583","6.460","3.098","4.297","11.273","7.986","5.653","4.085","11.344","16.004","1.598","4.955","141.509"
"66","GTLM","Dirk Mueller","4","1:21.951","19:12.746","Green","Track","0.636","7.073","3.199","4.360","11.491","8.423","6.231","4.394","12.104","16.822","1.747","5.471","129.717"
"54","DPi","Jonathan Bennett","10","1:15.913","19:15.128","Green","Track","0.566","6.228","2.820","4.121","11.008","7.574","5.637","4.058","11.236","16.146","1.627","4.892","145.760"
"55","DPi","Jonathan Bomarito","8","1:15.374","19:20.562","Green","Track","0.570","6.363","2.773","4.020","11.068","7.610","5.563","4.074","11.069","15.698","1.652","4.914","144.737"
"7","DPi","Ricky Taylor","6","1:16.147","19:39.344","Green","Track","0.570","6.373","2.980","4.117","11.154","7.567","5.622","3.992","11.024","16.136","1.673","4.939","144.737"
"4","GTLM","Oliver Gavin","11","1:32.080","19:45.529","Green","Pit","0.630","6.982","3.026","4.280","11.303","7.994","5.927","4.400","12.026","16.795","3.713","15.004","130.952"
"67","GTLM","Ryan Briscoe","5","1:21.844","19:47.714","Green","Track","0.635","7.078","3.263","4.461","11.440","8.049","5.946","4.442","12.090","17.302","1.702","5.436","129.921"
"50","DPi","Kyle Kaiser","9","1:18.325","19:47.749","Green","Track","0.577","6.424","3.159","4.259","11.754","7.748","5.927","4.046","11.175","16.708","1.610","4.938","142.981"
"25","GTLM","Tom Blomqvist","7","1:24.014","19:51.511","Green","Track","0.641","7.049","3.629","4.620","11.840","8.055","6.403","4.477","12.409","17.702","1.724","5.465","128.705"
"84","DPi","Stephen Simpson","13","1:18.159","19:53.085","Green","Track","0.582","6.486","2.719","3.998","12.744","7.831","5.777","4.023","11.314","16.140","1.590","4.955","141.753"
"5","DPi","Joao Barbosa","14","1:15.334","19:57.587","Green","Track","0.579","6.449","2.739","4.032","10.554","7.264","5.409","3.984","12.057","15.687","1.618","4.962","142.487"
"3","GTLM","Jan Magnussen","12","1:20.846","20:04.589","Green","Track","0.628","6.988","3.049","4.264","11.186","7.824","5.881","4.481","12.348","17.087","1.717","5.393","131.369"
"24","GTLM","Jesse Krohn","9","1:21.045","20:21.109","Green","Track","0.638","7.045","3.155","4.280","11.615","8.073","5.937","4.354","12.093","16.675","1.725","5.455","129.310"
"77","DPi","Oliver Jarvis","9","7:34.957","20:22.129","Green","Pit","0.000","0.000","0.000","0.000","16.152","10.365","8.288","5.660","14.602","20.073","4.593","15.086","0.000"
"85","DPi","Misha Goikhberg","9","1:14.730","20:24.248","Green","Track","0.583","6.469","2.754","4.015","10.678","7.379","5.599","3.994","11.082","15.599","1.613","4.965","141.509"
"54","DPi","Jonathan Bennett","11","1:18.154","20:33.282","Green","Track","0.564","6.236","2.831","4.162","11.093","7.775","6.312","4.240","11.494","16.990","1.602","4.855","146.277"
"66","GTLM","Dirk Mueller","5","1:21.766","20:34.512","Green","Track","0.635","7.047","3.147","4.262","11.439","8.182","6.047","4.377","12.046","17.395","1.729","5.460","129.921"
"55","DPi","Jonathan Bomarito","9","1:15.523","20:36.085","Green","Track","0.564","6.346","2.766","4.061","11.180","7.575","5.403","4.179","11.100","15.758","1.672","4.919","146.277"
"7","DPi","Ricky Taylor","7","1:15.348","20:54.692","Green","Track","0.569","6.379","2.930","4.053","10.967","7.383","5.509","3.960","11.036","15.953","1.675","4.934","144.991"
"50","DPi","Kyle Kaiser","10","1:14.501","21:02.250","Green","Track","0.575","6.421","2.801","3.942","10.644","7.330","5.662","3.950","10.943","15.640","1.637","4.956","143.478"
"67","GTLM","Ryan Briscoe","6","1:20.736","21:08.450","Green","Track","0.635","7.088","3.157","4.810","11.483","7.881","5.877","4.364","11.958","16.384","1.690","5.409","129.921"
"25","GTLM","Tom Blomqvist","8","1:21.880","21:13.391","Green","Track","0.641","7.039","3.232","4.456","11.602","7.863","5.918","4.409","12.191","17.366","1.715","5.448","128.705"
"5","DPi","Joao Barbosa","15","1:22.744","21:20.331","Green","Track","0.581","6.437","2.748","4.043","10.594","7.382","5.434","4.011","11.083","23.904","1.590","4.937","141.997"
"84","DPi","Stephen Simpson","14","1:30.399","21:23.484","Green","Pit","0.580","6.454","3.061","4.442","11.553","7.603","6.089","4.206","11.753","16.355","3.356","14.947","142.241"
